Name,Price,Value,URL
"«BabyFox», батончики Creamy, 5 шт, 115 г","83,80 ₽",за   шт.,https://kdvonline.ru/product/batonchiki-creamy-5-sht-33628
"«O'Zera», белый шоколад White, 45 г","41,30 ₽",за   шт.,https://kdvonline.ru/product/beliy-shokolad-white-35443
"«O'Zera», шоколадный батончик White with strawberry crisps and popping candy, 45 г","56,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-white-with-strawberry-crisps-and-popping-candy-35448
"«O'Zera», шоколадный батончик White & Cookies, 45 г","41,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-white-cookies-35447
"«O'Zera», шоколадный батончик White & Coconut cream, 45 г","41,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-white-coconut-cream-35446
"«O'Zera», шоколадный батончик  White & Strawberry cream, 45 г","41,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-white-strawberry-cream-35445
"«BabyFox», вафельный батончик Creamy Choco, 23 г","18,30 ₽",Хитза   шт.,https://kdvonline.ru/product/vafelniy-batonchik-creamy-choco-34916
"«Nut&Go», батончик Миндаль, арахис, клюква, 50 г","39,30 ₽",за   шт.,https://kdvonline.ru/product/batonchik-mindal-arakhis-klyukva-31634
"Фруктовый батончик Click с протеином, Кокос в молочном шоколаде, 40 г","37,30 ₽",за   шт.,https://kdvonline.ru/product/fruktoviy-batonchik-click-s-proteinom-kokos-v-molochnom-shokolade-34632
"«BabyFox», вафельный батончик Roxy Молоко/фундучная паста, 18,2 г","13,00 ₽",Хитза   шт.,https://kdvonline.ru/product/vafelniy-batonchik-roxy-moloko-funduchnaya-pasta-31461
"«BabyFox», вафельный батончик Roxy Шоколад/фундучная паста, 18,2 г","11,80 ₽",Хитза   шт.,https://kdvonline.ru/product/vafelniy-batonchik-roxy-shokolad-funduchnaya-pasta-31462
"«Nut&Go», батончик Protein, миндаль с карамелью и морской солью, 40 г","39,80 ₽",за   шт.,https://kdvonline.ru/product/batonchik-protein-mindal-s-karamelyu-i-morskoy-solyu-32801
"«Nut&Go», батончик с миндалём, кокосом, карамелью, 36 г","32,30 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-s-mindalyom-kokosom-karamelyu-33005
"«Nut&Go», батончик с миндалём, пеканом, карамелью, морской солью, 36 г","52,50 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-s-mindalyom-pekanom-karamelyu-morskoy-solyu-33004
"«Nut&Go», батончик Almond & peanut, 36 г","26,20 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-almond-peanut-31633
"«Nut&Go», батончик миндальный, 34 г","31,80 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-mindalniy-22685
"Фруктовый батончик Click Манго с кокосом, 40 г","44,30 ₽",за   шт.,https://kdvonline.ru/product/fruktoviy-batonchik-click-mango-s-kokosom-34025
"Батончик «Apachi» с солёной карамелью и арахисом, 40 г","30,20 ₽",за   шт.,https://kdvonline.ru/product/batonchik-apachi-s-solyonoy-karamelyu-i-arakhisom-33000
"«Smart Formula», батончик фруктовый «Фрукты и орехи», 20 % протеина в горьком шоколаде, 40 г","50,00 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-fruktoviy-frukty-i-orekhi-20-proteina-v-gorkom-shokolade-32441
"«O'Zera», шоколад молочный Extra milk & Strawberry with popping candy, 45 г","62,50 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-extra-milk-strawberry-with-popping-candy-30681
"«BabyFox», шоколадный батончик с фундуком, 45 г","50,00 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-s-fundukom-31581
"«O'Zera», шоколад молочный Extra Milk &Sea Salted caramel, 45 г","45,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-extra-milk-sea-salted-caramel-30682
"«O'Zera», шоколад молочный Extra milk, 45 г","42,50 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-extra-milk-30680
"«O'Zera», шоколад молочный Extra milk & Hazelnut, 45 г","47,50 ₽",Хитза   шт.,https://kdvonline.ru/product/shokolad-molochniy-extra-milk-hazelnut-30679
"Батончик-суфле со вкусом клубника-банан Frutto Bello, 35 г","15,30 ₽",за   шт.,https://kdvonline.ru/product/batonchik-sufle-so-vkusom-klubnika-banan-frutto-bello-30735
"Батончик-суфле со вкусом арбуза Frutto Bello, 35 г","16,20 ₽",за   шт.,https://kdvonline.ru/product/batonchik-sufle-so-vkusom-arbuza-frutto-bello-30739
"Шоколадный батончик Furor, 35 г","19,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-furor-30337
"Шоколадный батончик Rodeo, 30 г","14,90 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-rodeo-30336
"«Smart Formula», батончик протеиновый какао в молочном шоколаде, 40 г","60,00 ₽",за   шт.,https://kdvonline.ru/product/batonchik-proteinoviy-kakao-v-molochnom-shokolade-28439
"«Smart Formula», батончик протеиновый молочный в молочном шоколаде, 40 г","60,00 ₽",за   шт.,https://kdvonline.ru/product/batonchik-proteinoviy-molochniy-v-molochnom-shokolade-28437
"«O'Zera», батончик Chocolate Hazelnut, 23 г","16,40 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-chocolate-hazelnut-26198
"«O'Zera», батончик Creamy-Hazelnut, 23 г","18,30 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-creamy-hazelnut-27831
"«O'Zera», шоколадный батончик Raspberry, 50 г","39,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-raspberry-27362
"«O'Zera», шоколадный батончик Lemon & Ginger, 50 г","41,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-lemon-ginger-27361
"«O'Zera», шоколадный батончик Mango, 50 г","39,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-mango-27360
"«O'Zera», шоколадный батончик Strawberry, 50 г","39,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-strawberry-27359
"«O'Zera», шоколадный батончик Aerated, 32 г","32,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-aerated-17022
"«BabyFox», шоколадный батончик с молочной начинкой, 45 г","36,70 ₽",Хитза   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-s-molochnoy-nachinkoy-24348
"«Smart Formula», фруктово-ореховый батончик Cocoa – mint, 40 г","33,00 ₽",Хитза   шт.,https://kdvonline.ru/product/fruktovo-orekhoviy-batonchik-cocoa-mint-22823
"«Smart Formula», фруктово-ореховый батончик Cashew, 40 г","31,50 ₽",Хитза   шт.,https://kdvonline.ru/product/fruktovo-orekhoviy-batonchik-cashew-22820
"«Fun Banan», батончик, 35 г","24,80 ₽",за   шт.,https://kdvonline.ru/product/batonchik-2191
"«O'Zera», шоколад горький  Dark & Red berries, 40 г","60,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-gorkiy-dark-red-berries-957
"«O'Zera», шоколад горький Dark & Extra Orange, 40 г","51,30 ₽",Хитза   шт.,https://kdvonline.ru/product/shokolad-gorkiy-dark-extra-orange-741
"Батончик «Спринт», 250 г","77,50 ₽",за   шт.,https://kdvonline.ru/product/batonchik-sprint-745
"«O'Zera», шоколадный батончик Milk Caramel, 50 г","39,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-milk-caramel-321
"«O'Zera», шоколадный батончик Dark Truffle, 47 г","40,00 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-dark-truffle-324
"«Nut&Go», батончик с арахисом и клюквой, 42 г","24,20 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-s-arakhisom-i-klyukvoy-922
"«Cornline», зерновой батончик с клюквой, 30 г","13,80 ₽",Хитза   шт.,https://kdvonline.ru/product/zernovoy-batonchik-s-klyukvoy-920
"«Cornline», зерновой батончик с кокосом, 30 г","12,40 ₽",Хитза   шт.,https://kdvonline.ru/product/zernovoy-batonchik-s-kokosom-921
"Батончик «Крокант», 28 г","10,30 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-krokant-734
"Батончик «Бон-Тайм», 20 г","7,30 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-bon-taym-727
"Батончик «Джумка» с воздушной кукурузой, 37 г","27,30 ₽",за   шт.,https://kdvonline.ru/product/batonchik-dzhumka-s-vozdushnoy-kukuruzoy-739
"Вафли «Impulse» с мягкой карамелью в глазури, 16 г","11,50 ₽",Хитза   шт.,https://kdvonline.ru/product/vafli-impulse-s-myagkoy-karamelyu-v-glazuri-626
"Батончик Bonfetti, 25 г","9,40 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-bonfetti-636
"Батончик «Спринт», 50 г","18,90 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-sprint-510
"Батончик «Чио Рио», 30 г","13,00 ₽",за   шт.,https://kdvonline.ru/product/batonchik-chio-rio-146
"Батончик «Ярче!» с арахисом, 50 г","18,90 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-yarche-s-arakhisom-192
"Батончик «Твист», вафельный с шоколадной начинкой, 22,5 г","11,80 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-tvist-vafelniy-s-shokoladnoy-nachinkoy-153
"Батончик Jet`s, 42 г","12,70 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-jet-s-41
"Батончик Super, 40 г","11,80 ₽",Хитза   шт.,https://kdvonline.ru/product/batonchik-super-7
"Вафли «Zебра», глазированные, 40 г","30,70 ₽",за   шт.,https://kdvonline.ru/product/vafli-zebra-glazirovannye-22
"«O'Zera», шоколадный батончик White & Almonds, 45 г","41,30 ₽",за   шт.,https://kdvonline.ru/product/shokoladniy-batonchik-white-almonds-35449
