Name,Price,Value,URL
"«ETRE», чай черный Decaf Bergamot, 25 пакетиков, 45 г","130,00 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-decaf-bergamot-25-paketikov-35543
"«ETRE», чай черный Decaf, 25 пакетиков, 45 г","127,50 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-decaf-25-paketikov-35542
"«Fruttobello», чайный напиток «Вишня», 25 пакетиков, 37,5 г","88,80 ₽","Акция98,80 ₽за   шт.",https://kdvonline.ru/product/chayniy-napitok-vishnya-25-paketikov-33963
"«Fruttobello», чайный напиток «Черная смородина», 25 пакетиков, 37,5 г","78,80 ₽","Акция92,50 ₽за   шт.",https://kdvonline.ru/product/chayniy-napitok-chernaya-smorodina-25-paketikov-33962
"«Fruttobello», чайный напиток «Малина», 25 пакетиков, 37,5 г","82,50 ₽","Акция103,80 ₽за   шт.",https://kdvonline.ru/product/chayniy-napitok-malina-25-paketikov-33961
"«Fruttobello», чайный напиток «Персик», 25 пакетиков, 37,5 г","78,80 ₽","Акция93,80 ₽за   шт.",https://kdvonline.ru/product/chayniy-napitok-persik-25-paketikov-33960
"«Fitto», чай травяной ENERGY имбирь, 25 пакетиков, 37,5 г","82,50 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-energy-imbir-25-paketikov-30172
"«Fitto», чай травяной Relax. Ромашка, 25 пакетиков, 32,5 г","70,00 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-relax-romashka-25-paketikov-30162
"«VerSailles», чай черный «Strawberry Field», 80 г","101,30 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-strawberry-field-34776
"«VerSailles», чай зеленый «Paradise», 80 г","102,50 ₽",за   шт.,https://kdvonline.ru/product/chay-zeleniy-paradise-34775
"«VerSailles», чай черный «Citrus Magic», 80 г","92,50 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-citrus-magic-34774
"«Bontime», чай черный «Крепкий», 25 пакетиков, 37,5 г","42,50 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-krepkiy-25-paketikov-34617
"«Bontime», чайный напиток «Фруктовый с ароматом малины», 25 пакетиков, 37,5 г","56,30 ₽",за   шт.,https://kdvonline.ru/product/chayniy-napitok-fruktoviy-s-aromatom-maliny-25-paketikov-34616
"«Bontime», чай черный «Клубника», 25 пакетиков, 37,5 г","51,30 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-klubnika-25-paketikov-34615
"«Bontime», чай черный «Маракуйя», 25 пакетиков, 37,5 г","50,00 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-marakuyya-25-paketikov-34614
"«Bontime», чай черный «Чёрная смородина», 25 пакетиков, 37,5 г","48,80 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-chyornaya-smorodina-25-paketikov-34613
"«Bontime», чай зелёный «Жасмин», 25 пакетиков, 37,5 г","50,00 ₽",за   шт.,https://kdvonline.ru/product/chay-zelyoniy-zhasmin-25-paketikov-34612
"«Bontime», чай черный «Малина», 25 пакетиков, 37,5 г","48,80 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-malina-25-paketikov-34611
"«Bontime», чай черный «Лимон», 25 пакетиков, 37,5 г","48,80 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-limon-25-paketikov-34610
"«Fitto», чай травяной Renewal гречишный, 25 пакетиков, 50 г","112,50 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-renewal-grechishniy-25-paketikov-30171
"«ETRE», чай зелёный «Жасмин-мята», 25 пакетиков, 50 г","56,30 ₽",за   шт.,https://kdvonline.ru/product/chay-zelyoniy-zhasmin-myata-25-paketikov-34695
"«ETRE», чай «Молочный улун», 25 пакетиков, 50 г","75,00 ₽",за   шт.,https://kdvonline.ru/product/chay-molochniy-ulun-25-paketikov-34694
"«ETRE», чай черный «Масала», 25 пакетиков, 50 г","78,80 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-masala-25-paketikov-34693
"«ETRE», чай черный «Облепиха», 25 пакетиков, 50 г","65,00 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-oblepikha-25-paketikov-34692
"«ETRE», чай черный «Пуэр-Оранж», 25 пакетиков, 50 г","63,80 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-puer-oranzh-25-paketikov-34691
"«ETRE», чай черный «Ассам», 25 пакетиков, 50 г","56,30 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-assam-25-paketikov-34690
"«ETRE», чай черный «Кения», 25 пакетиков, 50 г","68,80 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-keniya-25-paketikov-34689
"«ETRE», чай черный «Английский завтрак», 25 пакетиков, 50 г","60,00 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-angliyskiy-zavtrak-25-paketikov-34688
"«ETRE», чай Mao Feng зеленый, 25 пакетиков, 50 г","50,00 ₽",за   шт.,https://kdvonline.ru/product/chay-mao-feng-zeleniy-25-paketikov-1259
"«ETRE», чай Jasmine зеленый с жасмином, 25 пакетиков, 50 г","50,00 ₽",за   шт.,https://kdvonline.ru/product/chay-jasmine-zeleniy-s-zhasminom-25-paketikov-1780
"«ETRE», чай Lemon зелёный с лимоном, 25 пакетиков, 50 г","55,00 ₽",за   шт.,https://kdvonline.ru/product/chay-lemon-zelyoniy-s-limonom-25-paketikov-1449
"«ETRE», чай Strawberry зеленый с клубникой, 25 пакетиков, 50 г","57,50 ₽",за   шт.,https://kdvonline.ru/product/chay-strawberry-zeleniy-s-klubnikoy-25-paketikov-1448
"«Fitto», чай травяной Tonic саган-дайля, 25 пакетиков, 37,5 г","98,80 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-tonic-sagan-daylya-25-paketikov-30170
"«Fitto», чай травяной Antioxidant Ройбуш, 25 пакетиков, 37,5 г","86,30 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-antioxidant-roybush-25-paketikov-30166
"«Fitto», чай травяной Meditation Альпийские травы, 25 пакетиков, 37,5 г","83,80 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-meditation-alpiyskie-travy-25-paketikov-30165
"«Fitto», чай травяной Detox Иван-чай, 25 пакетиков, 37,5 г","91,30 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-detox-ivan-chay-25-paketikov-30168
"«Fitto», чай Nostress липа, 25 пакетиков, 37,5 г","90,00 ₽",за   шт.,https://kdvonline.ru/product/chay-nostress-lipa-25-paketikov-30169
"«Fitto», чай травяной Vitamins. Шиповник, 25 пакетиков, 37,5 г","86,30 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-vitamins-shipovnik-25-paketikov-30167
"«Fitto», чай травяной Calming. Мята – Мелисса, 25 пакетиков, 37,5 г","81,30 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-calming-myata-melissa-25-paketikov-30164
"«Fitto», чай травяной Immunity. Каркаде, 25 пакетиков, 37,5 г","82,50 ₽",за   шт.,https://kdvonline.ru/product/chay-travyanoy-immunity-karkade-25-paketikov-30163
"«ETRE», чайный напиток Relax Ромашка, 25 пакетиков, 32,5 г","45,00 ₽",за   шт.,https://kdvonline.ru/product/chayniy-napitok-relax-romashka-25-paketikov-2396
"«ETRE», чайный напиток Calming мята-мелисса, 25 пакетиков, 37,5 г","58,80 ₽",за   шт.,https://kdvonline.ru/product/chayniy-napitok-calming-myata-melissa-25-paketikov-2362
"«ETRE», чайный напиток Meditation Альпийские травы, 25 пакетиков, 37,5 г","58,80 ₽",за   шт.,https://kdvonline.ru/product/chayniy-napitok-meditation-alpiyskie-travy-25-paketikov-2364
"«ETRE», чайный напиток Immunity каркаде, 25 пакетиков, 37,5 г","58,80 ₽",за   шт.,https://kdvonline.ru/product/chayniy-napitok-immunity-karkade-25-paketikov-2363
"«Bontime», чай черный, 25 пакетиков, 50 г","52,50 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-25-paketikov-2295
"«Bontime», чай черный, 30 пакетиков без ярлычка, 60 г","46,30 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-30-paketikov-bez-yarlychka-2300
"«Bontime», чай черный, 100 пакетиков, 200 г","193,80 ₽",Хитза   шт.,https://kdvonline.ru/product/chay-cherniy-100-paketikov-2298
"«Bontime», чай черный с ароматом бергамота, 25 пакетиков, 50 г","56,30 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-s-aromatom-bergamota-25-paketikov-2297
"«Bontime», чай зелёный, 25 пакетиков, 50 г","46,30 ₽",за   шт.,https://kdvonline.ru/product/chay-zelyoniy-25-paketikov-2296
"«ETRE», чай Thyme черный с чабрецом, 25 пакетиков, 50 г","53,80 ₽",за   шт.,https://kdvonline.ru/product/chay-thyme-cherniy-s-chabretsom-25-paketikov-1847
"«ETRE», чай Royal Ceylon черный цейлонский отборный, 25 пакетиков, 50 г","57,50 ₽",за   шт.,https://kdvonline.ru/product/chay-royal-ceylon-cherniy-tseylonskiy-otborniy-25-paketikov-1257
"«ETRE», чай Earl Grey черный с бергамотом, 25 пакетиков, 50 г","67,50 ₽",за   шт.,https://kdvonline.ru/product/chay-earl-grey-cherniy-s-bergamotom-25-paketikov-1258
"«ETRE», чай чёрный с лесными ягодами, 25 пакетиков, 50 г","62,50 ₽",за   шт.,https://kdvonline.ru/product/chay-chyorniy-s-lesnymi-yagodami-25-paketikov-1447
"«ETRE», чай Royal Ceylon черный цейлонский отборный, 100 пакетиков, 200 г","217,50 ₽",за   шт.,https://kdvonline.ru/product/chay-royal-ceylon-cherniy-tseylonskiy-otborniy-100-paketikov-1260
"«Bontime», чай черный, 200 г","131,30 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-17321
"«Bontime», чай черный, 100 г","75,00 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-2299
"«ETRE», чай Earl Grey черный листовой с бергамотом, 100 г","101,30 ₽",за   шт.,https://kdvonline.ru/product/chay-earl-grey-cherniy-listovoy-s-bergamotom-17717
"«ETRE», чай Royal Ceylon черный цейлонский листовой, 200 г","195,00 ₽",Хитза   шт.,https://kdvonline.ru/product/chay-royal-ceylon-cherniy-tseylonskiy-listovoy-17714
"«ETRE», чай Royal Ceylon черный цейлонский листовой, 100 г","106,30 ₽",за   шт.,https://kdvonline.ru/product/chay-royal-ceylon-cherniy-tseylonskiy-listovoy-17710
"«ETRE», чай Mao Feng зеленый крупнолистовой, 100 г","96,30 ₽",Хитза   шт.,https://kdvonline.ru/product/chay-mao-feng-zeleniy-krupnolistovoy-17715
"«ETRE», чай «Молочный улун» зеленый крупнолистовой, 100 г","113,80 ₽",за   шт.,https://kdvonline.ru/product/chay-molochniy-ulun-zeleniy-krupnolistovoy-17716
"«ETRE», чай черный гранулированный, 100 г","75,00 ₽",за   шт.,https://kdvonline.ru/product/chay-cherniy-granulirovanniy-1313
"«VerSailles», напиток чайный «Tropical Fruits», 80 г","113,80 ₽",за   шт.,https://kdvonline.ru/product/napitok-chayniy-tropical-fruits-34773
"«ETRE», чай чёрный с лимоном, 25 пакетиков, 50 г","57,50 ₽",за   шт.,https://kdvonline.ru/product/chay-chyorniy-s-limonom-25-paketikov-1450
