Name,Price,Value,URL
"«Yota», драже хрустящие подушечки с молочной начинкой в шоколадной глазури (упаковка 0,5 кг)","346,90 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-khrustyaschie-podushechki-s-molochnoy-nachinkoy-v-shokoladnoy-glazuri-31213
"«NutStory», драже в молочной  шоколадной глазури «Арахис» (упаковка 0,5 кг)","323,15 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-v-molochnoy-shokoladnoy-glazuri-arakhis-35112
"«Yota», драже молочный шоколад в цветной глазури, 135 г","106,30 ₽",за   шт,https://kdvonline.ru/product/drazhe-molochniy-shokolad-v-tsvetnoy-glazuri-35313
"«FruitStory», драже в шоколадной глазури «Изюм» (упаковка 0,5 кг)","413,15 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-v-shokoladnoy-glazuri-izyum-35305
"«Yota», драже молочный шоколад в цветной глазури, 40 г","34,20 ₽",за   шт,https://kdvonline.ru/product/drazhe-molochniy-shokolad-v-tsvetnoy-glazuri-33695
"«Yota», драже молочный шоколад в цветной глазури (упаковка 0,5 кг)","362,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-molochniy-shokolad-v-tsvetnoy-glazuri-33697
"«Yota», драже арахис в шоколадной и сахарной цветной глазури, 150 г","102,50 ₽",за   шт,https://kdvonline.ru/product/drazhe-arakhis-v-shokoladnoy-i-sakharnoy-tsvetnoy-glazuri-30213
"«O'Zera», драже «Фундук в молочном шоколаде», 150 г","181,30 ₽",за   шт,https://kdvonline.ru/product/drazhe-funduk-v-molochnom-shokolade-31805
"«Yota», драже вафля с молочно-шоколадной глазури, 150 г","96,30 ₽",за   шт,https://kdvonline.ru/product/drazhe-vaflya-s-molochno-shokoladnoy-glazuri-30211
"Драже «Ананас в цветной глазури» (упаковка 0,5 кг)","463,15 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-ananas-v-tsvetnoy-glazuri-31704
"Драже «Крокант» с миндалем, 50 г","41,30 ₽",за   шт,https://kdvonline.ru/product/drazhe-krokant-s-mindalem-31212
"Драже «Крокант» с миндалем (упаковка 0,5 кг)","357,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-krokant-s-mindalem-31211
"«O'Zera», драже «Смородина в горьком шоколаде», 150 г","307,50 ₽",за   шт,https://kdvonline.ru/product/drazhe-smorodina-v-gorkom-shokolade-29195
"«O'Zera», драже «Кешью в горьком шоколаде», 150 г","227,50 ₽",за   шт,https://kdvonline.ru/product/drazhe-keshyu-v-gorkom-shokolade-29194
"«O'Zera», драже  «Грецкий орех в горьком шоколаде», 150 г","211,30 ₽",за   шт,https://kdvonline.ru/product/drazhe-gretskiy-orekh-v-gorkom-shokolade-29193
"«Yota», драже «Хрустящий шарик со взрывной карамелью» CocaCola/Love is, 50 г","56,30 ₽",за   шт,https://kdvonline.ru/product/drazhe-khrustyaschiy-sharik-so-vzryvnoy-karamelyu-cocacola-love-is-26761
"«Yota», драже «Хрустящий шарик со взрывной карамелью» Кислый лайм/клубника, 50 г","56,30 ₽",за   шт,https://kdvonline.ru/product/drazhe-khrustyaschiy-sharik-so-vzryvnoy-karamelyu-kisliy-laym-klubnika-28935
"Драже «Хрустящий шарик со взрывной карамелью» CocaCola/Love is (упаковка 0,5 кг)","490,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-khrustyaschiy-sharik-so-vzryvnoy-karamelyu-cocacola-love-is-26746
"Драже «Хрустящий шарик со взрывной карамелью» Кислый лайм/клубника (упаковка 0,5 кг)","490,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-khrustyaschiy-sharik-so-vzryvnoy-karamelyu-kisliy-laym-klubnika-27544
"Драже фундук в молочной глазури с дробленой карамелью и солью (упаковка 0,5 кг)","453,15 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-funduk-v-molochnoy-glazuri-s-droblenoy-karamelyu-i-solyu-18374
"Драже «рыбка» в молочно-шоколадной глазури (упаковка 0,5 кг)","309,40 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-rybka-v-molochno-shokoladnoy-glazuri-16944
"Драже клубника в белой глазури (упаковка 0,5 кг)","512,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-klubnika-v-beloy-glazuri-16945
"Драже Dragon eggs (упаковка 0,5 кг)","289,40 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-dragon-eggs-16647
"Драже арахис в шоколадной и сахарной цветной глазури (упаковка 0,5 кг)","293,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-arakhis-v-shokoladnoy-i-sakharnoy-tsvetnoy-glazuri-16646
"Драже вафля в молочно-шоколадной глазури (упаковка 0,5 кг)","302,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-vaflya-v-molochno-shokoladnoy-glazuri-16644
"Драже Dragon eggs, 70 г","47,50 ₽",за   шт,https://kdvonline.ru/product/drazhe-dragon-eggs-17028
"«Yota», драже арахис в молочно-шоколадной и сахарной глазури, 40 г","27,20 ₽",за   шт,https://kdvonline.ru/product/drazhe-arakhis-v-molochno-shokoladnoy-i-sakharnoy-glazuri-1056
"«Yota», драже вафля в молочно-шоколадной глазури, 40 г","30,20 ₽",за   шт,https://kdvonline.ru/product/drazhe-vaflya-v-molochno-shokoladnoy-glazuri-1154
"«Ореховичи», драже «Фундук Петрович» в молочно-шоколадной глазури, 50 г","47,50 ₽",за   шт,https://kdvonline.ru/product/drazhe-funduk-petrovich-v-molochno-shokoladnoy-glazuri-1280
"«Yota», драже хрустящий шарик в малиновой глазури, 40 г","42,50 ₽",за   шт,https://kdvonline.ru/product/drazhe-khrustyaschiy-sharik-v-malinovoy-glazuri-1270
"«Фруктовичи», драже «Вишня Владимировна» в шоколадной глазури, 50 г","47,50 ₽",за   шт,https://kdvonline.ru/product/drazhe-vishnya-vladimirovna-v-shokoladnoy-glazuri-1297
"«Фруктовичи», драже «Клубника Николаевна» в белой шоколадной глазури, 50 г","53,80 ₽",за   шт,https://kdvonline.ru/product/drazhe-klubnika-nikolaevna-v-beloy-shokoladnoy-glazuri-1286
"«Smart Formula», фундук в шоколаде без добавления сахара, 50 г","41,30 ₽",за   шт,https://kdvonline.ru/product/funduk-v-shokolade-bez-dobavleniya-sakhara-28075
"Драже «Вафельный микс» дыня/банан (упаковка 0,5 кг)","321,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/drazhe-vafelniy-miks-dynya-banan-26736
