Name,Price,Value,URL
"Станки одноразовые Lady, 5 шт «Fjord», 40 г","71,30 ₽",Новинказа   шт,https://kdvonline.ru/product/stanki-odnorazovye-lady-5-sht-36042
"Подгузники, размер S (3-6 kg) «Sansumi», 470 г","328,80 ₽","Акция386,30 ₽за   шт",https://kdvonline.ru/product/podguzniki-razmer-s-3-6-kg-23370
"Подгузники, размер M (5-9 kg) «Sansumi», 520 г","325,00 ₽","Акция382,50 ₽за   шт",https://kdvonline.ru/product/podguzniki-razmer-m-5-9-kg-23371
"Трусики-подгузники, размер L (9-14 kg) «Sansumi», 548 г","362,50 ₽","Акция426,30 ₽за   шт",https://kdvonline.ru/product/trusiki-podguzniki-razmer-l-9-14-kg-23372
"Трусики-подгузники, размер XL (13-17 kg) «Sansumi», 513 г","348,80 ₽","Акция410,00 ₽за   шт",https://kdvonline.ru/product/trusiki-podguzniki-razmer-xl-13-17-kg-23373
"Зубная нить, 50 м «Labori», 18,8 г","60,00 ₽",за   шт,https://kdvonline.ru/product/zubnaya-nit-50-m-34808
"Презервативы латексные Dotted, 3 шт «Wild Pleasure», 15 г","67,50 ₽",за   шт,https://kdvonline.ru/product/prezervativy-lateksnye-dotted-3-sht-34831
"Презервативы латексные Ultra Thin, 3 шт «Wild Pleasure», 14,4 г","67,50 ₽",за   шт,https://kdvonline.ru/product/prezervativy-lateksnye-ultra-thin-3-sht-34830
"Презервативы латексные Classic, 3 шт «Wild Pleasure», 13,4 г","67,50 ₽",за   шт,https://kdvonline.ru/product/prezervativy-lateksnye-classic-3-sht-34829
"Зубная паста Remineralization (реминерализация) «Labori», 120 г","103,80 ₽",за   шт,https://kdvonline.ru/product/zubnaya-pasta-remineralization-remineralizatsiya-34450
"Зубная паста Protection (защита от кариеса) «Labori», 120 г","98,80 ₽",за   шт,https://kdvonline.ru/product/zubnaya-pasta-protection-zaschita-ot-kariesa-34449
"Зубная паста Whitening (отбеливающая) «Labori», 120 г","103,80 ₽",за   шт,https://kdvonline.ru/product/zubnaya-pasta-whitening-otbelivayuschaya-34448
"Зубная щетка Classic «Labori», 22 г","31,00 ₽",за   шт,https://kdvonline.ru/product/zubnaya-schetka-classic-29752
"Зубная щетка Zigzag «Labori», 26 г","32,40 ₽",за   шт,https://kdvonline.ru/product/zubnaya-schetka-zigzag-29754
"Зубная щетка Kid «Labori», 18,6 г","30,90 ₽",за   шт,https://kdvonline.ru/product/zubnaya-schetka-kid-29753
"Влажные салфетки «Солнце и луна» с ромашкой,72шт","99,98 ₽",за   шт,https://kdvonline.ru/product/vlazhnye-salfetki-17251
Полотенца бумажные «Veiro» Classic,"54,98 ₽","ХитАкция89,98 ₽за   шт",https://kdvonline.ru/product/polotentsa-bumazhnye-5552
Ватные диски «Nice Time» 120 шт,"69,98 ₽",Хитза   шт,https://kdvonline.ru/product/vatnye-diski-17388
Ватные диски «Nice Time» 80 шт,"46,98 ₽",за   шт,https://kdvonline.ru/product/vatnye-diski-17387
Туалетная бумага трехслойная «Veiro» LUXORIA,"89,98 ₽",Хитза   шт,https://kdvonline.ru/product/tualetnaya-bumaga-trekhsloynaya-5521
Туалетная бумага двухслойная «Veiro» COMFORT,"69,98 ₽",за   шт,https://kdvonline.ru/product/tualetnaya-bumaga-dvukhsloynaya-5579
"Туалетная бумага трехслойная «Soffione» Premio fresh, 4 рулона","89,98 ₽",Хитза   шт,https://kdvonline.ru/product/tualetnaya-bumaga-trekhsloynaya-17541
Ватные диски «Sweet Sense» 120 шт,"59,98 ₽",Хитза   шт,https://kdvonline.ru/product/vatnye-diski-28950
"Прокладки Ultra Нормал с мягкой поверхностью, 10 шт","119,90 ₽",за   шт,https://kdvonline.ru/product/prokladki-35613
"Прокладки Ultra Ночные с мягкой поверхностью, 8 шт","119,99 ₽",за   шт,https://kdvonline.ru/product/prokladki-35614
"Жидкое мыло «SYNERGETIC» для рук и тела «Аромамагия», 500 мл","119,98 ₽",за   шт,https://kdvonline.ru/product/zhidkoe-mylo-18040
"Жидкое мыло для рук «Fresh&Nice» с ароматом зеленого чая, 500 мл","62,98 ₽",Хитза   шт,https://kdvonline.ru/product/zhidkoe-mylo-dlya-ruk-34044
Зубная нить 50м,"54,99 ₽",за   шт,https://kdvonline.ru/product/zubnaya-nit-35600
"Зубная щетка «Labori» Classic, 1 шт","24,99 ₽",за   шт,https://kdvonline.ru/product/zubnaya-schetka-29463
"Зубная щетка «Labori» Zigzag, 1 шт","24,99 ₽",за   шт,https://kdvonline.ru/product/zubnaya-schetka-29464
"Прокладки «Bella» Perfecta Blue, 10 шт.","99,99 ₽",за   шт,https://kdvonline.ru/product/prokladki-33853
"Прокладки «Bella» Perfecta Green, 10 шт.","99,99 ₽",за   шт,https://kdvonline.ru/product/prokladki-33854
"Зубная паста «Splat» Биокальций, 80 г","102,98 ₽",Хитза   шт,https://kdvonline.ru/product/zubnaya-pasta-16909
"Зубная паста «Splat» отбеливание плюс, 80 г","102,98 ₽",за   шт,https://kdvonline.ru/product/zubnaya-pasta-16911
"Мыло туалетное «Fax» Жасмин и лаванда, 280 г","99,99 ₽",за   шт,https://kdvonline.ru/product/mylo-tualetnoe-29213
"Хозяйственное мыло 72%, 140 г","39,98 ₽",Хитза   шт,https://kdvonline.ru/product/khozyaystvennoe-mylo-30114
"Ватные диски Original, 100 шт.","59,99 ₽",за   шт,https://kdvonline.ru/product/vatnye-diski-35602
Ватные палочки «Aura» Beauty 200 шт,"49,98 ₽",за   шт,https://kdvonline.ru/product/vatnye-palochki-5975
Ватные палочки «LURE» 200 штук,"34,98 ₽",Хитза   шт,https://kdvonline.ru/product/vatnye-palochki-32357
"Презервативы латексные Classic, 3 шт","79,99 ₽",за   шт,https://kdvonline.ru/product/prezervativy-lateksnye-35546
"Презервативы латексные Ultra Thin, 3 шт","79,99 ₽",за   шт,https://kdvonline.ru/product/prezervativy-lateksnye-35547
"Презервативы латексные Dotted, 3 шт","79,99 ₽",за   шт,https://kdvonline.ru/product/prezervativy-lateksnye-35548
"Станки одноразовые, 5 шт «Fjord», 40 г","71,30 ₽",Новинказа   шт,https://kdvonline.ru/product/stanki-odnorazovye-5-sht-36041
