Name,Price,Value,URL
"Карамель «Кремка» с кофе, 70 г","25,50 ₽",Новинказа   шт,https://kdvonline.ru/product/karamel-kremka-s-kofe-36535
"Карамель «Кремка» с кофе (упаковка 0,5 кг)","169,40 ₽",Новинказа упак 0.5 кг,https://kdvonline.ru/product/karamel-kremka-s-kofe-36534
"«Strike», карамель на палочке «Милкшейк» (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-milksheyk-34764
"«Strike», карамель на палочке «Ягодно-фруктовый микс» (коробка 3,5 кг)","1 058,75 ₽",за кор 3.5 кг,https://kdvonline.ru/product/karamel-na-palochke-yagodno-fruktoviy-miks-34758
"«Strike», карамель на палочке «Милкшейк» (коробка 3,5 кг)","1 058,75 ₽",за кор 3.5 кг,https://kdvonline.ru/product/karamel-na-palochke-milksheyk-34763
"«Strike», карамель на палочке «Милкшейк», 565 г","168,80 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-milksheyk-34762
"«Strike», карамель на палочке «Милкшейк», 113 г","35,00 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-milksheyk-34761
"«Strike», карамель на палочке «Ягодно-фруктовый микс» (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-yagodno-fruktoviy-miks-34759
"«Strike», карамель на палочке «Ягодно-фруктовый микс», 565 г","168,80 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-yagodno-fruktoviy-miks-34757
"«Strike», карамель на палочке «Ягодно-фруктовый микс», 113 г","35,00 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-yagodno-fruktoviy-miks-34756
"«Strike», карамель на палочке «Микс 5 вкусов» (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-miks-5-vkusov-33635
"«Strike», карамель на палочке «Кислый kiss», 113 г","35,00 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-kisliy-kiss-33221
"«KrutFrut», карамель с шипучей начинкой кола, апельсин, лимон, 90 г","24,30 ₽",за   шт,https://kdvonline.ru/product/karamel-s-shipuchey-nachinkoy-kola-apelsin-limon-32384
"«KrutFrut», карамель с шипучей начинкой кола, апельсин, лимон (упаковка 0,5 кг)","117,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-s-shipuchey-nachinkoy-kola-apelsin-limon-32382
"«Strike», карамель на палочке «Кислый kiss» (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-kisliy-kiss-33224
"«Strike», карамель на палочке «Кислый kiss», 565 г","168,80 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-kisliy-kiss-33222
"Карамель со вкусом тирамису (упаковка 0,5 кг)","170,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-so-vkusom-tiramisu-31932
"«Strike», карамель на палочке «Cola на максималках» (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-cola-na-maksimalkakh-32507
"«Strike», карамель на палочке «Cola на максималках», 565 г","168,80 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-cola-na-maksimalkakh-32501
"«Strike», карамель на палочке «Cola на максималках», 113 г","35,00 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-cola-na-maksimalkakh-32498
"«Strike», карамель на палочке с молочно-фруктовым вкусом, 565 г","168,80 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-s-molochno-fruktovym-vkusom-31459
"«Strike», карамель на палочке с жевательной конфетой, 565 г","168,80 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-s-zhevatelnoy-konfetoy-31458
"«Strike», карамель на палочке ассорти, 565 г","168,80 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-assorti-31457
"Карамель кислая  Crazy Balls, 90 г","29,50 ₽",за   шт,https://kdvonline.ru/product/karamel-kislaya-crazy-balls-30324
"Карамель кислая  Crazy Balls (упаковка 0,5 кг)","140,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-kislaya-crazy-balls-30319
"«Strike», карамель на палочке с добавлением молока (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-s-dobavleniem-moloka-30092
"«Strike», карамель на палочке с жевательной конфетой внутри (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-s-zhevatelnoy-konfetoy-vnutri-30091
"«Strike», карамель на палочке с фруктовыми вкусами (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-s-fruktovymi-vkusami-30096
"«Strike», карамель на палочке с двойными вкусами (коробка 5 кг)","1 487,50 ₽",за кор 5 кг,https://kdvonline.ru/product/karamel-na-palochke-s-dvoynymi-vkusami-30090
"«Strike», карамель на палочке с двойными вкусами (коробка 3,5 кг)","1 058,75 ₽",за кор 3.5 кг,https://kdvonline.ru/product/karamel-na-palochke-s-dvoynymi-vkusami-26676
"«Strike», карамель на палочке с двойными вкусами, 565 г","168,80 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-s-dvoynymi-vkusami-26675
"Карамель молочная Milky ball, 90 г","36,40 ₽",за   шт,https://kdvonline.ru/product/karamel-molochnaya-milky-ball-29009
"Карамель молочная Milky ball (упаковка 0,5 кг)","181,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-molochnaya-milky-ball-29004
"«Strike», карамель на палочке с двойными вкусами, 113 г","35,00 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-s-dvoynymi-vkusami-16678
"«Smart Formula», карамель без сахара Say no to sugar, мята, зелёный чай, эвкалипт, 60 г","52,50 ₽",за   шт,https://kdvonline.ru/product/karamel-bez-sakhara-say-no-to-sugar-myata-zelyoniy-chay-evkalipt-25959
"Карамель «Кремка» с морской солью (упаковка 0,5 кг)","141,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-kremka-s-morskoy-solyu-23383
"Карамель «Кремка» со вкусом клубники и сливок (упаковка 0,5 кг)","138,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-kremka-so-vkusom-klubniki-i-slivok-16696
"Карамель «Кремка» с молочным вкусом (упаковка 0,5 кг)","130,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-kremka-s-molochnym-vkusom-16697
"Карамель «Желейка» со вкусом апельсина (упаковка 0,5 кг)","115,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-zheleyka-so-vkusom-apelsina-16612
"Карамель «Топ  Шлёп» (упаковка 0,5 кг)","153,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-top-shlyop-16611
"Карамель «Дивная Даренка» (упаковка 0,5 кг)","118,15 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-divnaya-darenka-16621
"Карамель «Солярики» (упаковка 0,5 кг)","134,40 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-solyariki-16694
"Карамель с соком малины, яблока и лимона (упаковка 0,5 кг)","109,40 ₽",Хитза упак 0.5 кг,https://kdvonline.ru/product/karamel-s-sokom-maliny-yabloka-i-limona-16619
"Карамель Fructi Show (упаковка 0,5 кг)","120,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-fructi-show-16695
"Карамель со вкусом груши (упаковка 0,5 кг)","109,40 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-so-vkusom-grushi-16622
"Карамель Red berry (упаковка 0,5 кг)","105,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-red-berry-16620
"Карамель со вкусом мяты (упаковка 0,5 кг)","115,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-so-vkusom-myaty-16618
"Карамель «Ломтики со вкусами апельсина, лимона и грейпфрута» (упаковка 0,5 кг)","130,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-lomtiki-so-vkusami-apelsina-limona-i-greypfruta-16617
"Карамель «Опс!» (упаковка 0,5 кг)","122,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-ops-16615
"Карамель «Сибирская ягода» (упаковка 0,5 кг)","126,90 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-sibirskaya-yagoda-16581
"Карамель «Дворянка» (упаковка 0,5 кг)","184,40 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-dvoryanka-16616
"«Strike», карамель на палочке ассорти, 113 г","35,00 ₽",за   шт,https://kdvonline.ru/product/karamel-na-palochke-assorti-1076
"Карамель со вкусом клубники со сливками (упаковка 0,5 кг)","130,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/karamel-so-vkusom-klubniki-so-slivkami-1193
"Карамель «Фруктово-ягодная» в сахаре, открытая (коробка 4,5 кг)","1 063,35 ₽",за кор 4.5 кг,https://kdvonline.ru/product/karamel-fruktovo-yagodnaya-v-sakhare-otkrytaya-1095
