Name,Price,Value,URL
"«Liberty Orchards», козинак «Микс на меду», 120 г","50,00 ₽",за   шт,https://kdvonline.ru/product/kozinak-miks-na-medu-35304
"«Liberty Orchards», козинак «Микс на меду», 40 г","17,50 ₽",Хитза   шт,https://kdvonline.ru/product/kozinak-miks-na-medu-35303
"«Liberty Orchards», козинак кунжутный, 114 г","52,50 ₽",за   шт,https://kdvonline.ru/product/kozinak-kunzhutniy-29392
"«Liberty Orchards», козинак кунжутный, 38 г","19,00 ₽",Хитза   шт,https://kdvonline.ru/product/kozinak-kunzhutniy-29391
"«Liberty Orchards», козинак арахисовый, 150 г","67,50 ₽",за   шт,https://kdvonline.ru/product/kozinak-arakhisoviy-28695
"«Liberty Orchards», козинак арахисовый, 50 г","23,00 ₽",за   шт,https://kdvonline.ru/product/kozinak-arakhisoviy-28694
"«Liberty Orchards», халва арахисовая, 185 г","76,30 ₽",за   шт,https://kdvonline.ru/product/khalva-arakhisovaya-28605
"«Liberty Orchards», халва подсолнечная, 185 г","45,00 ₽",за   шт,https://kdvonline.ru/product/khalva-podsolnechnaya-28604
"Халва арахисовая (коробка 3,5 кг)","1 382,50 ₽",за кор 3.5 кг,https://kdvonline.ru/product/khalva-arakhisovaya-28603
"Халва подсолнечная (коробка 3,5 кг)","792,05 ₽",за кор 3.5 кг,https://kdvonline.ru/product/khalva-podsolnechnaya-28602
"Козинак кунжутный (коробка 2,7 кг)","948,51 ₽",за кор 2.7 кг,https://kdvonline.ru/product/kozinak-kunzhutniy-29384
