Name,Price,Value,URL
"«LUSSO», кофе Barista, молотый в растворимом, 95 г","226,30 ₽",за   шт.,https://kdvonline.ru/product/kofe-barista-molotiy-v-rastvorimom-17053
"«LUSSO», кофе Barista, молотый в растворимом, 75 г","171,30 ₽",за   шт.,https://kdvonline.ru/product/kofe-barista-molotiy-v-rastvorimom-17342
"«LUSSO», кофе Barista, молотый в растворимом, 40 г","95,00 ₽",за   шт.,https://kdvonline.ru/product/kofe-barista-molotiy-v-rastvorimom-17322
"«Verano», кофе в зёрнах, 250 г","368,80 ₽",за   шт.,https://kdvonline.ru/product/kofe-v-zyornakh-1513
"«Verano», кофе молотый, 200 г","297,50 ₽",за   шт.,https://kdvonline.ru/product/kofe-molotiy-1514
"«LUSSO», кофе Gold, растворимый, 150 г","326,30 ₽",за   шт.,https://kdvonline.ru/product/kofe-gold-rastvorimiy-31845
"«LUSSO», кофе Gold, растворимый, 95 г","227,50 ₽",за   шт.,https://kdvonline.ru/product/kofe-gold-rastvorimiy-32403
"«LUSSO», кофе Gold, растворимый, 75 г","170,00 ₽",за   шт.,https://kdvonline.ru/product/kofe-gold-rastvorimiy-31716
"«LUSSO», кофе Gold, растворимый, 40 г","93,80 ₽",за   шт.,https://kdvonline.ru/product/kofe-gold-rastvorimiy-31715
"«Mr. Coffee», напиток кофейный 3в1 «Кофе с молоком», 20 г","9,90 ₽",за   шт.,https://kdvonline.ru/product/napitok-kofeyniy-3v1-kofe-s-molokom-29651
"«Bridge Coffee», напиток кофейный 3 в 1 Латте, 20 г","13,80 ₽",Хитза   шт.,https://kdvonline.ru/product/napitok-kofeyniy-3-v-1-latte-29815
"«Bridge Coffee», напиток кофейный 3 в 1 Моккачино, 20 г","14,20 ₽",Хитза   шт.,https://kdvonline.ru/product/napitok-kofeyniy-3-v-1-mokkachino-29637
"«Bridge Coffee», напиток кофейный  3 в 1 Капучино, 20 г","14,20 ₽",Хитза   шт.,https://kdvonline.ru/product/napitok-kofeyniy-3-v-1-kapuchino-29636
"«Bridge Coffee», напиток кофейный 3 в 1 с ароматом лесного ореха, 20 г","12,20 ₽",Хитза   шт.,https://kdvonline.ru/product/napitok-kofeyniy-3-v-1-s-aromatom-lesnogo-orekha-29638
"«Bridge Coffee», напиток кофейный 3 в 1 с карамелью, 20 г","12,80 ₽",Хитза   шт.,https://kdvonline.ru/product/napitok-kofeyniy-3-v-1-s-karamelyu-29813
"«Bridge Coffee», напиток кофейный 3 в 1, 20 г","11,80 ₽",за   шт.,https://kdvonline.ru/product/napitok-kofeyniy-3-v-1-17252
"«BabyFox», напиток с какао, 135 г","61,30 ₽",за   шт.,https://kdvonline.ru/product/napitok-s-kakao-29986
"«RODEO», кофе растворимый, 75 г","123,80 ₽",за   шт.,https://kdvonline.ru/product/kofe-rastvorimiy-17323
"«LUSSO», кофе Gold, растворимый, 2 г","6,00 ₽",за   шт.,https://kdvonline.ru/product/kofe-gold-rastvorimiy-17253
"«Vesuvius», кофе в зёрнах, 200 г","213,80 ₽",за   шт.,https://kdvonline.ru/product/kofe-v-zyornakh-17015
"«Vesuvius», кофе молотый, 200 г","213,80 ₽",за   шт.,https://kdvonline.ru/product/kofe-molotiy-17014
