Name,Price,Value,URL
"«O'Zera», конфеты шоколадные «Orange cream» (упаковка 0,5 кг)","464,40 ₽",Новинказа упак 0.5 кг,https://kdvonline.ru/product/konfety-shokoladnye-orange-cream-35576
"«O'Zera», конфеты шоколадные «Strawberry cream» (упаковка 0,5 кг)","464,40 ₽",Новинказа упак 0.5 кг,https://kdvonline.ru/product/konfety-shokoladnye-strawberry-cream-35575
"«O'Zera», конфеты Souffle с малиной в тёмном шоколаде, 360 г","412,50 ₽",за   шт,https://kdvonline.ru/product/konfety-souffle-s-malinoy-v-tyomnom-shokolade-31955
"«O'Zera», конфеты Souffle со вкусом смородины, в тёмном шоколаде, 360 г","416,30 ₽",за   шт,https://kdvonline.ru/product/konfety-souffle-so-vkusom-smorodiny-v-tyomnom-shokolade-31954
"«O'Zera», конфеты Souffle со вкусом шоколада, в тёмном шоколаде, 360 г","400,00 ₽",за   шт,https://kdvonline.ru/product/konfety-souffle-so-vkusom-shokolada-v-tyomnom-shokolade-31957
"Конфета Dafri чиз-кейк (упаковка 0,5 кг)","325,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-dafri-chiz-keyk-18446
"Конфета Dafri тирамису (упаковка 0,5 кг)","338,15 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-dafri-tiramisu-18445
"«BabyFox», конфеты вафельные Creamy Choco (коробка 2 кг)","1 580,00 ₽",за кор 2 кг,https://kdvonline.ru/product/konfety-vafelnye-creamy-choco-35524
"«BabyFox», конфеты вафельные Creamy Choco, 100 г","86,30 ₽",за   шт,https://kdvonline.ru/product/konfety-vafelnye-creamy-choco-35523
"«O'Zera», конфеты шоколадные Almond cream (упаковка 0,5 кг)","435,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-shokoladnye-almond-cream-35574
"«O'Zera», конфеты шоколадные Coconut cream (упаковка 0,5 кг)","435,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-shokoladnye-coconut-cream-35573
"«O'Zera», конфеты шоколадные «Пралине с цельным фундуком», 135 г","213,80 ₽",за   шт,https://kdvonline.ru/product/konfety-shokoladnye-praline-s-tselnym-fundukom-35617
"Конфеты в шоколадной глазури  «Чернослив с грецким орехом» (упаковка 0,5 кг)","558,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-v-shokoladnoy-glazuri-chernosliv-s-gretskim-orekhom-33083
"«NutStory», конфеты «Миндаль» в молочной шоколадной глазури (упаковка 0,5 кг)","497,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-mindal-v-molochnoy-shokoladnoy-glazuri-35326
"«NutStory», конфеты «Фундук» в молочной шоколадной глазури (упаковка 0,5 кг)","468,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-funduk-v-molochnoy-shokoladnoy-glazuri-35325
"«FruitStory», конфеты в шоколадной глазури «Вишня» (упаковка 0,5 кг)","488,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-v-shokoladnoy-glazuri-vishnya-34663
"«FruitStory», конфеты в шоколадной глазури «Ананас» (упаковка 0,5 кг)","466,90 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-v-shokoladnoy-glazuri-ananas-34664
"Конфеты помадные Melory «Лимонный курд с клубникой» (упаковка 0,5 кг)","150,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-pomadnye-melory-limonniy-kurd-s-klubnikoy-34781
"«O'Zera», шоколадные конфеты «Джандуйя из фундука и миндаля», 220 г","306,30 ₽",за   шт,https://kdvonline.ru/product/shokoladnye-konfety-dzhanduyya-iz-funduka-i-mindalya-34435
"«O'Zera», шоколадные конфеты «Пралине с цельным фундуком», 190 г","282,50 ₽",за   шт,https://kdvonline.ru/product/shokoladnye-konfety-praline-s-tselnym-fundukom-34434
"«O'Zera», шоколадные конфеты «Трюфель в молочном шоколаде», 197 г","275,00 ₽",за   шт,https://kdvonline.ru/product/shokoladnye-konfety-tryufel-v-molochnom-shokolade-34433
"«O'Zera», конфеты шоколадные «Вкус романтического вечера», 195 г","343,20 ₽",за   шт,https://kdvonline.ru/product/konfety-shokoladnye-vkus-romanticheskogo-vechera-81
"«O'Zera», конфеты шоколадные «Вкус успешного дня», 195 г","334,10 ₽",за   шт,https://kdvonline.ru/product/konfety-shokoladnye-vkus-uspeshnogo-dnya-80
"«O'Zera», конфеты шоколадные «Вкус радостного утра», 180 г","334,10 ₽",за   шт,https://kdvonline.ru/product/konfety-shokoladnye-vkus-radostnogo-utra-79
"Конфеты Cookies and milk (упаковка 0,5 кг)","196,25 ₽",Хитза упак 0.5 кг,https://kdvonline.ru/product/konfety-cookies-and-milk-33632
"Вафельная конфета Lovesta с ананасовым кремом (коробка 1,5 кг)","660,00 ₽",за кор 1.5 кг,https://kdvonline.ru/product/vafelnaya-konfeta-lovesta-s-ananasovym-kremom-33694
"Вафельная конфета Lovesta с кокосовым кремом (коробка 1,5 кг)","622,50 ₽",за кор 1.5 кг,https://kdvonline.ru/product/vafelnaya-konfeta-lovesta-s-kokosovym-kremom-33693
"Конфеты желейные «Малина с лимоном» (упаковка 0,5 кг)","140,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-zheleynye-malina-s-limonom-33851
"Конфета «Молочный HIT» (упаковка 0,5 кг)","140,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-molochniy-hit-33888
"Конфеты BerryArt (упаковка 0,5 кг)","165,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-berryart-33521
"«FruitStory», конфеты в шоколадной глазури  «Персик с арахисом» (упаковка 0,5 кг)","390,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-v-shokoladnoy-glazuri-persik-s-arakhisom-33082
"«FruitStory», конфеты в шоколадной глазури «Манго» (упаковка 0,5 кг)","478,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-v-shokoladnoy-glazuri-mango-33081
"Конфеты желейные «Банановые» (упаковка 0,5 кг)","140,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-zheleynye-bananovye-31981
"Конфеты желейные «Апельсиновые» (упаковка 0,5 кг)","140,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-zheleynye-apelsinovye-31980
"Конфеты желейные «Несси тропик» (упаковка 0,5 кг)","138,15 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-zheleynye-nessi-tropik-32713
"Конфеты жевательные NotaBoom с арахисовым кремом (упаковка 0,5 кг)","170,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-zhevatelnye-notaboom-s-arakhisovym-kremom-30146
"Конфета Frant с солёной карамелью (упаковка 0,5 кг)","160,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-frant-s-solyonoy-karamelyu-22278
"«Belucci», конфеты со вкусом клубники (коробка 1,2 кг)","508,56 ₽",за кор 1.2 кг,https://kdvonline.ru/product/konfety-so-vkusom-klubniki-31518
"«BabyFox», конфеты шоколадные mini с фундуком (упаковка 0,5 кг)","533,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-shokoladnye-mini-s-fundukom-31463
"«BabyFox», конфеты шоколадные mini с фундуком, 120 г","135,00 ₽",за   шт,https://kdvonline.ru/product/konfety-shokoladnye-mini-s-fundukom-31424
"«O'Zera», конфеты Frulli суфле банана в шоколаде, 125 г","82,50 ₽",за   шт,https://kdvonline.ru/product/konfety-frulli-sufle-banana-v-shokolade-27358
"Конфеты жевательные NotaBoom с шоколадным кремом (упаковка 0,5 кг)","171,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-zhevatelnye-notaboom-s-shokoladnym-kremom-30087
"Конфеты «Чио Рио» с хрустящей карамелью и морской солью (упаковка 0,5 кг)","225,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-chio-rio-s-khrustyaschey-karamelyu-i-morskoy-solyu-30173
"«Twiggy», трубочки вафельные Double с кокосом в белом шоколаде, 185 г","107,50 ₽","Акция118,80 ₽за   шт",https://kdvonline.ru/product/trubochki-vafelnye-double-s-kokosom-v-belom-shokolade-29984
"«O'Zera», конфеты Creamy-Hazelnut (коробка 2 кг)","1 557,60 ₽",за кор 2 кг,https://kdvonline.ru/product/konfety-creamy-hazelnut-25044
"«O'Zera», конфеты Creamy-Hazelnut, 150 г","135,00 ₽",за   шт,https://kdvonline.ru/product/konfety-creamy-hazelnut-25043
"«BabyFox», конфеты mini с молочной начинкой, 120 г","106,30 ₽",за   шт,https://kdvonline.ru/product/konfety-mini-s-molochnoy-nachinkoy-27287
"«O'Zera», конфеты Chocolate Hazelnut, 150 г","132,50 ₽",за   шт,https://kdvonline.ru/product/konfety-chocolate-hazelnut-24866
"«O'Zera», шоколадные конфеты Milk & White Cream, 200 г","211,30 ₽",за   шт,https://kdvonline.ru/product/shokoladnye-konfety-milk-white-cream-18538
"«O'Zera», шоколадные конфеты Hazelnut Cream, 200 г","211,30 ₽",за   шт,https://kdvonline.ru/product/shokoladnye-konfety-hazelnut-cream-24379
"«O'Zera», шоколадные конфеты Caramel Cream, 200 г","211,30 ₽",за   шт,https://kdvonline.ru/product/shokoladnye-konfety-caramel-cream-24378
"«O'Zera», конфеты Love пралине с цельным фундуком, 230 г","345,00 ₽",за   шт,https://kdvonline.ru/product/konfety-love-praline-s-tselnym-fundukom-18311
"Конфеты «Furor» (упаковка 0,5 кг)","260,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-furor-24653
"«O'Zera», шоколадные конфеты Caramel Cream (упаковка 0,5 кг)","417,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/shokoladnye-konfety-caramel-cream-24376
"«O'Zera», шоколадные конфеты Hazelnut Cream (упаковка 0,5 кг)","417,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/shokoladnye-konfety-hazelnut-cream-24377
"«O'Zera», конфеты Chocolate Hazelnut (коробка 2 кг)","1 532,60 ₽",за кор 2 кг,https://kdvonline.ru/product/konfety-chocolate-hazelnut-23890
"«BabyFox», конфеты mini c молочной начинкой (упаковка 0,5 кг)","417,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-mini-c-molochnoy-nachinkoy-23528
"«O'Zera», конфеты Caramel&Crisp (упаковка 0,5 кг)","248,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-caramel-crisp-24543
"«Twiggy», конфеты с кокосом, 185 г","105,00 ₽",за   шт,https://kdvonline.ru/product/konfety-s-kokosom-23045
"Конфеты «Джумка» (упаковка 0,5 кг)","336,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-dzhumka-16531
"«O'Zera», шоколадные конфеты Milk Cream (упаковка 0,5 кг)","417,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/shokoladnye-konfety-milk-cream-18373
"«O'Zera», шоколадные конфеты White Cream (упаковка 0,5 кг)","417,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/shokoladnye-konfety-white-cream-18372
"Конфета «Крокант» (упаковка 0,5 кг)","191,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-krokant-17502
"Конфета Juicy light ананас (упаковка 0,5 кг)","146,25 ₽","Акция175,65 ₽за упак 0.5 кг",https://kdvonline.ru/product/konfeta-juicy-light-ananas-17640
"Конфета Juicy light экзотик (упаковка 0,5 кг)","146,25 ₽","Акция175,65 ₽за упак 0.5 кг",https://kdvonline.ru/product/konfeta-juicy-light-ekzotik-17639
"Конфеты «Белая черемуха» (упаковка 0,5 кг)","160,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-belaya-cheremukha-16594
"«O'Zera», конфеты с фундуком и миндалем (упаковка 0,5 кг)","426,90 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-s-fundukom-i-mindalem-16785
"«O'Zera», конфеты с цельным фундуком (упаковка 0,5 кг)","463,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-s-tselnym-fundukom-16782
"«O'Zera», конфеты трюфель молочный шоколад (упаковка 0,5 кг)","406,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-tryufel-molochniy-shokolad-17133
"Конфета Lusso со вкусом чёрной смородины (упаковка 0,5 кг)","145,00 ₽","Акция174,40 ₽за упак 0.5 кг",https://kdvonline.ru/product/konfeta-lusso-so-vkusom-chyornoy-smorodiny-16732
"Конфета «Му-муйка» парное молочко (упаковка 0,5 кг)","160,65 ₽","Акция185,00 ₽за упак 0.5 кг",https://kdvonline.ru/product/konfeta-mu-muyka-parnoe-molochko-16734
"«Фруктовичи», конфета «Курага Петровна» с миндалём в шоколадной глазури (упаковка 0,5 кг)","445,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-kuraga-petrovna-s-mindalyom-v-shokoladnoy-glazuri-16957
"Конфета «Джаззи» нуга и карамель (упаковка 0,5 кг)","147,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-dzhazzi-nuga-i-karamel-16717
"Конфета «Ярче!» с семенами подсолнечника (упаковка 0,5 кг)","136,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-yarche-s-semenami-podsolnechnika-16714
"Конфета «Загорская сливочная» (упаковка 0,5 кг)","160,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-zagorskaya-slivochnaya-16708
"Конфета жевательная «Нота Бум» с орехово-шоколадной начинкой (упаковка 0,5 кг)","167,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-zhevatelnaya-nota-bum-s-orekhovo-shokoladnoy-nachinkoy-16711
"Конфеты Super (упаковка 0,5 кг)","149,40 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-super-16715
"Конфеты Jet`s с печеньем (упаковка 0,5 кг)","145,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-jet-s-s-pechenyem-16716
"Конфеты «Бонфетти» (упаковка 0,5 кг)","185,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-bonfetti-16719
"Конфета жевательная «Нильс» (упаковка 0,5 кг)","138,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-zhevatelnaya-nils-16712
"Конфета «Джаззи» нуга, карамель и арахис (упаковка 0,5 кг)","160,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-dzhazzi-nuga-karamel-i-arakhis-16706
"Конфета «Ярче!» с арахисом (упаковка 0,5 кг)","184,40 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-yarche-s-arakhisom-16713
"Конфеты «Чио Рио» (упаковка 0,5 кг)","215,00 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-chio-rio-16707
"Конфета «Харитоша» (упаковка 0,5 кг)","180,65 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-kharitosha-16705
"Конфета «Евгеша» (упаковка 0,5 кг)","197,50 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-evgesha-16704
"Конфеты желейные «Несси» (упаковка 0,5 кг)","128,75 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfety-zheleynye-nessi-16700
"Конфета «Яшкинская картошка» (упаковка 0,5 кг)","186,25 ₽",за упак 0.5 кг,https://kdvonline.ru/product/konfeta-yashkinskaya-kartoshka-16703
