Name,Price,Value,URL
"«Sambo», манго в сиропе, ломтики, 415 г","136,30 ₽",за   шт,https://kdvonline.ru/product/mango-v-sirope-lomtiki-34023
"«Домашние заготовки», томаты маринованные, 680 г","128,80 ₽",за   шт,https://kdvonline.ru/product/tomaty-marinovannye-17562
"«Natural Honey», мёд гречишный, 330 г","198,80 ₽",за   шт,https://kdvonline.ru/product/myod-grechishniy-30651
"«Домашние заготовки», фасоль белая в томатном соусе, 400 г","110,00 ₽",за   шт,https://kdvonline.ru/product/fasol-belaya-v-tomatnom-souse-25288
"«Домашние заготовки», фасоль белая натуральная, 400 г","103,80 ₽",за   шт,https://kdvonline.ru/product/fasol-belaya-naturalnaya-25287
"«Домашние заготовки», фасоль красная в томатном соусе, 400 г","96,30 ₽",за   шт,https://kdvonline.ru/product/fasol-krasnaya-v-tomatnom-souse-25286
"«Домашние заготовки», фасоль красная натуральная, 400 г","90,00 ₽",за   шт,https://kdvonline.ru/product/fasol-krasnaya-naturalnaya-25285
"«Домашние заготовки», шампиньоны резаные, 400 г","113,80 ₽",за   шт,https://kdvonline.ru/product/shampinyony-rezanye-23445
"«Домашние заготовки», грибное ассорти в маринаде, 280 г","101,30 ₽",за   шт,https://kdvonline.ru/product/gribnoe-assorti-v-marinade-23444
"«Домашние заготовки», опята в рассоле, 280 г","122,50 ₽",за   шт,https://kdvonline.ru/product/opyata-v-rassole-23443
"«Sambo», ананасы в сиропе, консервированные, кольца, 565 г","177,50 ₽",за   шт,https://kdvonline.ru/product/ananasy-v-sirope-konservirovannye-koltsa-24682
"«Sambo», ананасы в сиропе, консервированные, кусочки, 565 г","173,80 ₽",за   шт,https://kdvonline.ru/product/ananasy-v-sirope-konservirovannye-kusochki-24681
"Свинина тушеная высший сорт ГОСТ, 325 г","165,00 ₽",за   шт,https://kdvonline.ru/product/svinina-tushenaya-vysshiy-sort-gost-18099
"Говядина тушеная высший сорт ГОСТ, 325 г","188,80 ₽",за   шт,https://kdvonline.ru/product/govyadina-tushenaya-vysshiy-sort-gost-18098
"«Calve», паста томатная, 270 г","93,80 ₽",за   шт,https://kdvonline.ru/product/pasta-tomatnaya-17643
"«Домашние заготовки», огурцы маринованные, 680 г","162,50 ₽",за   шт,https://kdvonline.ru/product/ogurtsy-marinovannye-17559
"«Домашние заготовки», томаты черри маринованные, 680 г","147,50 ₽",за   шт,https://kdvonline.ru/product/tomaty-cherri-marinovannye-17564
"«Домашние сладости», персики консервированные, 530 г","192,50 ₽",за   шт,https://kdvonline.ru/product/persiki-konservirovannye-17434
"«Домашние заготовки», зелёный горошек консервированный, 400 г","91,30 ₽",за   шт,https://kdvonline.ru/product/zelyoniy-goroshek-konservirovanniy-17200
"«Домашние сладости», клубника консервированная, 410 г","121,30 ₽",за   шт,https://kdvonline.ru/product/klubnika-konservirovannaya-17433
"«Домашние сладости», абрикосы консервированные, 530 г","186,30 ₽",за   шт,https://kdvonline.ru/product/abrikosy-konservirovannye-17432
"«Баренцев», тунец полосатый, филе измельченное (для салатов), 140 г","81,30 ₽",за   шт,https://kdvonline.ru/product/tunets-polosatiy-file-izmelchennoe-dlya-salatov-34539
"«Баренцев», тунец полосатый, кусочки филе, 140 г","117,50 ₽",за   шт,https://kdvonline.ru/product/tunets-polosatiy-kusochki-file-34537
"«Домашние заготовки», зелёный горошек консервированный, 450 г","105,00 ₽",за   шт,https://kdvonline.ru/product/zelyoniy-goroshek-konservirovanniy-34468
"«Домашние заготовки», закуска «Венгерская», 520 г","132,50 ₽",за   шт,https://kdvonline.ru/product/zakuska-vengerskaya-31640
"«Домашние заготовки», лечо, 520 г","128,80 ₽",за   шт,https://kdvonline.ru/product/lecho-27661
