Name,Price,Value,URL
"«Cardinale», макаронные изделия «Перья», 400 г","50,20 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-perya-22298
"«Cardinale», макаронные изделия «Рожки», 400 г","50,20 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-rozhki-22299
"«Cardinale», макаронные изделия «Ракушка», 400 г","50,20 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-rakushka-22300
"«Cardinale», макаронные изделия «Спирали», 400 г","50,20 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spirali-22301
"«Cardinale», макаронные изделия «Вермишель», 400 г","49,70 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-vermishel-22302
"«Своя Мельница», лапша, 500 г","43,50 ₽",за   шт,https://kdvonline.ru/product/lapsha-29541
"«Своя Мельница», макаронные изделия «Спагетти», 500 г","43,50 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spagetti-29540
"«Своя Мельница», макаронные изделия «Перья», 400 г","34,70 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-perya-29535
"«Своя Мельница», макаронные изделия «Спирали», 400 г","34,70 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spirali-29536
"«Своя Мельница», макаронные изделия «Витки», 400 г","34,70 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-vitki-29537
"«Своя Мельница», макаронные изделия «Рожки №3», 500 г","42,40 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-rozhki-3-29538
"«Своя Мельница», макаронные изделия «Рожки №5», 400 г","34,70 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-rozhki-5-29539
"«Своя Мельница», макаронные изделия «Рожки №5», 5 кг","420,90 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-rozhki-5-30071
"«Своя Мельница», макаронные изделия «Витки», 5 кг","420,90 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-vitki-30070
"«Своя Мельница», макаронные изделия «Рожки №3», 5 кг","420,90 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-rozhki-3-30069
"«Своя Мельница», макаронные изделия «Спирали», 5 кг","420,90 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spirali-30068
"«Своя Мельница», макаронные изделия «Перья», 5 кг","420,90 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-perya-30067
"«Bottega del Sole», макаронные изделия «Вермишель», 5 кг","500,00 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-vermishel-28940
"«Bottega del Sole», макаронные изделия «Витки», 5 кг","500,00 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-vitki-28939
"«Bottega del Sole», макаронные изделия «Рожки», 5 кг","500,00 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-rozhki-28938
"«Bottega del Sole», макаронные изделия «Спирали», 5 кг","500,00 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spirali-28937
"«Bottega del Sole», макаронные изделия «Перья», 5 кг","500,00 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-perya-28936
"«Bottega del Sole», макаронные изделия «Спагетти», цельнозерновые, 500 г","51,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spagetti-tselnozernovye-22522
"«Bottega del Sole», макаронные изделия «Фетучини», цельнозерновые, 500 г","51,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-fetuchini-tselnozernovye-22524
"«Bottega del Sole», макаронные изделия «Витки», цельнозерновые, 400 г","41,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-vitki-tselnozernovye-22521
"«Bottega del Sole», макаронные изделия «Спирали», цельнозерновые, 400 г","41,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spirali-tselnozernovye-22523
"«Bottega del Sole», макаронные изделия «Фетучини», 500 г","51,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-fetuchini-17684
"«Bottega del Sole», макаронные изделия «Спагетти», 500 г","51,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spagetti-16580
"«Bottega del Sole», макаронные изделия «Вермишель», 400 г","41,30 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-vermishel-2207
"«Bottega del Sole», макаронные изделия «Витки», 400 г","41,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-vitki-2206
"«Bottega del Sole», макаронные изделия «Рожки», 400 г","41,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-rozhki-2205
"«Bottega del Sole», макаронные изделия «Спирали», 400 г","41,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spirali-2204
"«Bottega del Sole», макаронные изделия «Перья», 400 г","41,80 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-perya-2203
"«Cardinale», макаронные изделия «Фетучини», 500 г","65,00 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-fetuchini-22526
"«Cardinale», макаронные изделия «Спагетти», 500 г","65,00 ₽",за   шт,https://kdvonline.ru/product/makaronnye-izdeliya-spagetti-22525
