Name,Price,Value,URL
"Арахис жареный со вкусом сметаны (упаковка 0,5 кг)","245,65 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/arakhis-zhareniy-so-vkusom-smetany-34523
"Арахис жареный со вкусом холодца с хреном (упаковка 0,5 кг)","245,65 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/arakhis-zhareniy-so-vkusom-kholodtsa-s-khrenom-34522
"«Beerka», арахис жареный со вкусом сметаны, 90 г","50,00 ₽",за   шт.,https://kdvonline.ru/product/arakhis-zhareniy-so-vkusom-smetany-34520
"«Beerka», арахис жареный со вкусом холодца с хреном, 90 г","50,00 ₽",за   шт.,https://kdvonline.ru/product/arakhis-zhareniy-so-vkusom-kholodtsa-s-khrenom-34521
"«Beerka», арахис жареный, солёный, 90 г","47,50 ₽",за   шт.,https://kdvonline.ru/product/arakhis-zhareniy-solyoniy-328
"«Beerka», арахис жареный, солёный, 30 г","16,40 ₽",за   шт.,https://kdvonline.ru/product/arakhis-zhareniy-solyoniy-327
"«Ореховичи», кешью, миндаль и арахис с кусочками вишни в карамели (упаковка 0,5 кг)","476,25 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/keshyu-mindal-i-arakhis-s-kusochkami-vishni-v-karameli-32596
"«NutStory», микс из кешью, миндаль, фундук, цукаты ананаса, 150 г","222,50 ₽",за   шт.,https://kdvonline.ru/product/miks-iz-keshyu-mindal-funduk-tsukaty-ananasa-31897
"«NutStory», микс ореховый из кешью, миндаль, фундук, 150 г","263,80 ₽",за   шт.,https://kdvonline.ru/product/miks-orekhoviy-iz-keshyu-mindal-funduk-31896
"«Beerka», мясные снеки из свинины, 40 г","68,80 ₽","Акция83,80 ₽за   шт.",https://kdvonline.ru/product/myasnye-sneki-iz-svininy-29583
"«NutStory», кешью жареный, 150 г","270,00 ₽",за   шт.,https://kdvonline.ru/product/keshyu-zhareniy-29594
"«NutStory», миндаль жареный, 150 г","228,80 ₽",за   шт.,https://kdvonline.ru/product/mindal-zhareniy-29593
"«NutStory», фундук жареный, 150 г","290,00 ₽",за   шт.,https://kdvonline.ru/product/funduk-zhareniy-29591
"«NutStory», арахис жареный, 150 г","91,30 ₽",за   шт.,https://kdvonline.ru/product/arakhis-zhareniy-29590
"Арахис жареный со вкусом вареных раков (упаковка 0,5 кг)","245,65 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/arakhis-zhareniy-so-vkusom-varenykh-rakov-16588
"Фисташка (упаковка 0,5 кг)","873,75 ₽","Акция964,40 ₽за упак. 0.5 кг",https://kdvonline.ru/product/fistashka-17529
"Арахис солёный (упаковка 0,5 кг)","240,00 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/arakhis-solyoniy-16587
"«Beerka», фисташки жареные, солёные, 80 г","146,30 ₽","Акция160,00 ₽за   шт.",https://kdvonline.ru/product/fistashki-zharenye-solyonye-378
"«Beerka», арахис жареный со вкусом шашлыка, 90 г","50,00 ₽",за   шт.,https://kdvonline.ru/product/arakhis-zhareniy-so-vkusom-shashlyka-613
"«Beerka», арахис жареный, солёный, 30 г","16,40 ₽",за   шт.,https://kdvonline.ru/product/arakhis-zhareniy-solyoniy-2245
"«Beerka», арахис жареный, солёный, 90 г","47,50 ₽",за   шт.,https://kdvonline.ru/product/arakhis-zhareniy-solyoniy-2246
