Name,Price,Value,URL
"«Яшкино», печенье сдобное «Лимонное», 300 г","102,50 ₽",за   шт.,https://kdvonline.ru/product/pechenye-sdobnoe-limonnoe-36339
"«Заварные пышечки» в белой глазури, 360 г","137,50 ₽",за   шт.,https://kdvonline.ru/product/zavarnye-pyshechki-v-beloy-glazuri-36649
"«Яшкино», печенье с какао и сливочным кремом, 220 г","67,50 ₽",Новинказа   шт.,https://kdvonline.ru/product/pechenye-s-kakao-i-slivochnym-kremom-36573
"«Яшкино», мини-пай голландский с яблочной начинкой, 180 г","61,30 ₽",за   шт.,https://kdvonline.ru/product/mini-pay-gollandskiy-s-yablochnoy-nachinkoy-32172
"«Яшкино», мини-пай голландский с малиновой начинкой, 360 г","126,30 ₽",за   шт.,https://kdvonline.ru/product/mini-pay-gollandskiy-s-malinovoy-nachinkoy-35545
"«Яшкино», мини-пай голландский с яблочной начинкой, 360 г","117,50 ₽",за   шт.,https://kdvonline.ru/product/mini-pay-gollandskiy-s-yablochnoy-nachinkoy-34590
"«Яшкино», голландский пай с малиновой начинкой, 150 г","55,00 ₽",за   шт.,https://kdvonline.ru/product/gollandskiy-pay-s-malinovoy-nachinkoy-34919
"«Nina Farina», хлебные палочки с семенами льна и подсолнечника, 160 г","63,80 ₽",Новинказа   шт.,https://kdvonline.ru/product/khlebnye-palochki-s-semenami-lna-i-podsolnechnika-36246
"«Яшкино», мини-пай голландский с малиновой начинкой, 180 г","65,00 ₽",за   шт.,https://kdvonline.ru/product/mini-pay-gollandskiy-s-malinovoy-nachinkoy-32173
"«Яшкино», «Заварные пышечки» в белой глазури, 180 г","73,80 ₽",за   шт.,https://kdvonline.ru/product/zavarnye-pyshechki-v-beloy-glazuri-36072
"Мини-пай голландский с малиновой начинкой (коробка 1,08 кг)","348,30 ₽",за кор. 1.08 кг,https://kdvonline.ru/product/mini-pay-gollandskiy-s-malinovoy-nachinkoy-31226
"«Яшкино», мини-пай голландский с малиновой начинкой, 360 г","126,30 ₽",за   шт.,https://kdvonline.ru/product/mini-pay-gollandskiy-s-malinovoy-nachinkoy-35544
"«Яшкино», choco Pie (коробка 2,13 кг)","742,94 ₽",за кор. 2.13 кг,https://kdvonline.ru/product/choco-pie-35847
"«Яшкино», печенье «Шотландское», на сливочном масле, 235 г","155,00 ₽",за   шт.,https://kdvonline.ru/product/pechenye-shotlandskoe-na-slivochnom-masle-35108
