Name,Price,Value,URL
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36242
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36241
"Пакет подарочный, большой","55,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36240
"Пакет подарочный, средний","39,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36239
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36238
"Пакет подарочный, средний","31,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36237
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36236
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36235
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36234
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36225
"Подарочный пакет, малый","19,00 ₽",Новинказа   шт,https://kdvonline.ru/product/podarochniy-paket-maliy-36217
"Подарочный пакет, средний","23,90 ₽",Новинказа   шт,https://kdvonline.ru/product/podarochniy-paket-sredniy-36214
"Подарочный пакет, малый","19,00 ₽",Новинказа   шт,https://kdvonline.ru/product/podarochniy-paket-maliy-36204
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36233
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36230
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36229
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36228
Пакет подарочный для вина/шампанского,"31,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-dlya-vina-shampanskogo-36226
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36223
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36222
Пакет подарочный для вина/шампанского,"31,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-dlya-vina-shampanskogo-36221
Пакет подарочный для вина/шампанского,"31,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-dlya-vina-shampanskogo-36220
Пакет подарочный для вина/шампанского,"31,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-dlya-vina-shampanskogo-36219
Пакет подарочный для вина/шампанского,"30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-dlya-vina-shampanskogo-36218
"Пакет подарочный, большой","57,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36213
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36211
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36210
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36209
"Пакет подарочный, большой","49,00 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-bolshoy-36208
"Пакет подарочный, средний","30,90 ₽",Новинказа   шт,https://kdvonline.ru/product/paket-podarochniy-sredniy-36206
