Name,Price,Value,URL
"«Бабкины семечки», семечки отборные, жареные, 400 г","150,00 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-zharenye-23147
"«Бабкины семечки», семечки отборные, жареные, 100 г","32,30 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-zharenye-516
"«Бабкины семечки», семечки отборные, жареные, 190 г","60,00 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-zharenye-15
"«Бабкины семечки», семечки отборные, жареные, 300 г","94,90 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-zharenye-518
"«Бабкины семечки», семечки отборные, жареные, 500 г","158,60 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-zharenye-519
"«Бабкины семечки», семечки жареные, солёные, 100 г","30,90 ₽",за   шт,https://kdvonline.ru/product/semechki-zharenye-solyonye-517
"«Бабкины семечки», семечки жареные, солёные, 300 г","93,60 ₽",за   шт,https://kdvonline.ru/product/semechki-zharenye-solyonye-181
"«Бабкины семечки», семечки тыквы отборные, жареные, с морской солью, 70 г","86,30 ₽",за   шт,https://kdvonline.ru/product/semechki-tykvy-otbornye-zharenye-s-morskoy-solyu-16
"«Бабкины семечки», семечки тыквы отборные, жареные, с морской солью, 150 г","191,10 ₽",за   шт,https://kdvonline.ru/product/semechki-tykvy-otbornye-zharenye-s-morskoy-solyu-419
"«Зелёный попугай», семечки отборные, черные, высший сорт, 40 г","13,50 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-chernye-vysshiy-sort-571
"«Зелёный попугай», семечки отборные, черные, высший сорт, 100 г","32,30 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-chernye-vysshiy-sort-572
"«Зелёный попугай», семечки отборные, черные, высший сорт, 190 г","58,80 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-chernye-vysshiy-sort-512
"«Зелёный попугай», семечки отборные, черные, высший сорт, 300 г","90,00 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-chernye-vysshiy-sort-513
"«Зелёный попугай», семечки отборные, черные, солёные, высший сорт, 100 г","30,90 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-chernye-solyonye-vysshiy-sort-511
"«Зелёный попугай», семечки отборные, чёрные, солёные, высший сорт, 190 г","57,50 ₽",за   шт,https://kdvonline.ru/product/semechki-otbornye-chyornye-solyonye-vysshiy-sort-573
