Name,Price,Value,URL
"«Яшкино», шоколад молочный с бисквитными шариками, 90 г","71,30 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-s-biskvitnymi-sharikami-35898
"«O'Zera», шоколад Double Milk & White chocolate, 24 г","25,70 ₽",за   шт.,https://kdvonline.ru/product/shokolad-double-milk-white-chocolate-35442
"«O'Zera», горький шоколад No sugar added Dark&Nuts, 90 г","131,30 ₽",за   шт.,https://kdvonline.ru/product/gorkiy-shokolad-no-sugar-added-dark-nuts-35316
"«O'Zera», горький шоколад No sugar added Dark&Orange, 90 г","135,00 ₽",за   шт.,https://kdvonline.ru/product/gorkiy-shokolad-no-sugar-added-dark-orange-35315
"«Smart Formula», горький шоколад Dark with raspberry crisp, 90 г","141,30 ₽",за   шт.,https://kdvonline.ru/product/gorkiy-shokolad-dark-with-raspberry-crisp-35322
"«Smart Formula», горький шоколад Dark with mango crisp, 90 г","143,80 ₽",за   шт.,https://kdvonline.ru/product/gorkiy-shokolad-dark-with-mango-crisp-35324
"«Smart Formula», горький шоколад Dark with mint, 90 г","133,80 ₽",за   шт.,https://kdvonline.ru/product/gorkiy-shokolad-dark-with-mint-35323
"«O'Zera», шоколад горький  Bitter, 90 г","141,30 ₽",за   шт.,https://kdvonline.ru/product/shokolad-gorkiy-bitter-35318
"«O'Zera», горький шоколад Dark&Sea salt caramel, 90 г","115,00 ₽",за   шт.,https://kdvonline.ru/product/gorkiy-shokolad-dark-sea-salt-caramel-35320
"«O'Zera», шоколад горький с апельсиновым маслом Dark&Orange, 90 г","103,80 ₽",за   шт.,https://kdvonline.ru/product/shokolad-gorkiy-s-apelsinovym-maslom-dark-orange-35319
"«O'Zera», шоколад молочный Extra milk & Hazelnut, 90 г","95,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-extra-milk-hazelnut-35317
"«O'Zera», шоколад белый карамельный Caramel, 90 г","90,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-beliy-karamelniy-caramel-35321
"«O'Zera», шоколад Ecuador, содержание какао 75%, 90 г","219,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-ecuador-soderzhanie-kakao-75-107
"«O'Zera», шоколад Carenero Superior, содержание какао 97,7%, 90 г","213,20 ₽",за   шт.,https://kdvonline.ru/product/shokolad-carenero-superior-soderzhanie-kakao-97-7-108
"«O'Zera», шоколад Arriba, содержание какао 77,7%, 90 г","213,20 ₽",за   шт.,https://kdvonline.ru/product/shokolad-arriba-soderzhanie-kakao-77-7-109
"«O'Zera», шоколад молочный Milk & Orange, 90 г","158,10 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-milk-orange-980
"«O'Zera», шоколад белый с манго, 90 г","117,50 ₽",за   шт.,https://kdvonline.ru/product/shokolad-beliy-s-mango-33424
"«O'Zera», шоколад белый «С клубничными криспами, хрустящими шариками и взрывной карамелью», 90 г","101,30 ₽",за   шт.,https://kdvonline.ru/product/shokolad-beliy-s-klubnichnymi-krispami-khrustyaschimi-sharikami-i-vzryvnoy-karamelyu-33846
"«O'Zera», шоколад Milk & Hazelnuts, 24 г","22,20 ₽",за   шт.,https://kdvonline.ru/product/shokolad-milk-hazelnuts-33159
"«O'Zera», шоколад Milk, 24 г","21,80 ₽",за   шт.,https://kdvonline.ru/product/shokolad-milk-33158
"«O'Zera», шоколад белый «Ананас и взрывная карамель», 90 г","86,30 ₽",за   шт.,https://kdvonline.ru/product/shokolad-beliy-ananas-i-vzryvnaya-karamel-30719
"«O'Zera», шоколад горький Dark, 90 г","103,80 ₽",Хитза   шт.,https://kdvonline.ru/product/shokolad-gorkiy-dark-32634
"«O'Zera», молочный шоколад Milk & Caramel с мягкой карамельной начинкой, 24 г","18,00 ₽",за   шт.,https://kdvonline.ru/product/molochniy-shokolad-milk-caramel-s-myagkoy-karamelnoy-nachinkoy-31579
"«O'Zera», молочный шоколад Milk & Orange filling с желейной апельсиновой начинкой, 24 г","18,00 ₽",за   шт.,https://kdvonline.ru/product/molochniy-shokolad-milk-orange-filling-s-zheleynoy-apelsinovoy-nachinkoy-31578
"«O'Zera», молочный шоколад с желейной клубничной начинкой Milk & Strawberry filling, 24 г","18,00 ₽",за   шт.,https://kdvonline.ru/product/molochniy-shokolad-s-zheleynoy-klubnichnoy-nachinkoy-milk-strawberry-filling-31577
"«O'Zera», молочный шоколад Milk & Mango filling с желейной начинкой из манго, 24 г","18,00 ₽",за   шт.,https://kdvonline.ru/product/molochniy-shokolad-milk-mango-filling-s-zheleynoy-nachinkoy-iz-mango-31576
"«O'Zera», темный шоколад Dark & Orange with chili с апельсиновыми криспами и перцем чили (коробка 1,2 кг)","1 503,00 ₽",за кор. 1.2 кг,https://kdvonline.ru/product/temniy-shokolad-dark-orange-with-chili-s-apelsinovymi-krispami-i-pertsem-chili-31575
"«O'Zera», молочный шоколад Milk & Caramel с мягкой карамельной начинкой (коробка 1,2 кг)","924,00 ₽",за кор. 1.2 кг,https://kdvonline.ru/product/molochniy-shokolad-milk-caramel-s-myagkoy-karamelnoy-nachinkoy-31574
"«O'Zera», молочный шоколад Milk & Orange filling с желейной апельсиновой начинкой (коробка 1,2 кг)","924,00 ₽",за кор. 1.2 кг,https://kdvonline.ru/product/molochniy-shokolad-milk-orange-filling-s-zheleynoy-apelsinovoy-nachinkoy-31573
"«O'Zera», молочный шоколад с желейной клубничной начинкой Milk & Strawberry filling (коробка 1,2 кг)","924,00 ₽",за кор. 1.2 кг,https://kdvonline.ru/product/molochniy-shokolad-s-zheleynoy-klubnichnoy-nachinkoy-milk-strawberry-filling-31572
"«O'Zera», молочный шоколад Milk & Mango filling с желейной начинкой из манго (коробка 1,2 кг)","924,00 ₽",за кор. 1.2 кг,https://kdvonline.ru/product/molochniy-shokolad-milk-mango-filling-s-zheleynoy-nachinkoy-iz-mango-31571
"«O'Zera», молочный шоколад  Milk & Strawberry с клубничными криспами (коробка 1,2 кг)","1 420,56 ₽",за кор. 1.2 кг,https://kdvonline.ru/product/molochniy-shokolad-milk-strawberry-s-klubnichnymi-krispami-31570
"«O'Zera», молочный шоколад Milk & Almonds with salt caramel с миндалем и соленой карамелью (коробка 1,2 кг)","1 189,56 ₽",за кор. 1.2 кг,https://kdvonline.ru/product/molochniy-shokolad-milk-almonds-with-salt-caramel-s-mindalem-i-solenoy-karamelyu-31569
"«O'Zera», шоколад темный Dark drops, 80 г","87,50 ₽",за   шт.,https://kdvonline.ru/product/shokolad-temniy-dark-drops-30444
"«O'Zera», шоколад молочный Milk drops, 80 г","76,30 ₽",Хитза   шт.,https://kdvonline.ru/product/shokolad-molochniy-milk-drops-30422
"«O'Zera», шоколад Milk chocolate with Almonds salt caramel, 90 г","95,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-milk-chocolate-with-almonds-salt-caramel-29954
"«O'Zera», шоколад горький с цельным миндалем Dark & Extra Almond, 90 г","100,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-gorkiy-s-tselnym-mindalem-dark-extra-almond-18717
"«O'Zera», шоколад White and Extra Almond, 90 г","88,80 ₽",за   шт.,https://kdvonline.ru/product/shokolad-white-and-extra-almond-18719
"«O'Zera», шоколад молочный с цельным фундуком  Milk & Extra Hazelnut, 90 г","97,50 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-s-tselnym-fundukom-milk-extra-hazelnut-18718
"«BabyFox», шоколад детский, молочный с малиной, 90 г","123,50 ₽",за   шт.,https://kdvonline.ru/product/shokolad-detskiy-molochniy-s-malinoy-764
"«BabyFox», шоколад детский, молочный и белый, 90 г","119,60 ₽",за   шт.,https://kdvonline.ru/product/shokolad-detskiy-molochniy-i-beliy-765
"«Яшкино», шоколад тёмный, содержание какао 52%, 90 г","99,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-tyomniy-soderzhanie-kakao-52-166
"«Яшкино», шоколад молочный со взрывной карамелью, 90 г","78,80 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-so-vzryvnoy-karamelyu-22294
"«Яшкино», шоколад молочный с яблоком, 90 г","76,30 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-s-yablokom-22295
"«Яшкино», шоколад молочный с арахисом, 90 г","75,30 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-s-arakhisom-574
"«Яшкино», шоколад молочный, 90 г","79,20 ₽",Хитза   шт.,https://kdvonline.ru/product/shokolad-molochniy-534
"«Яшкино», шоколад молочный с крекером, 90 г","74,00 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-s-krekerom-167
"«Яшкино», шоколад молочный с ананасом, 90 г","83,20 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-s-ananasom-382
"«Яшкино», шоколад белый, 90 г","83,20 ₽",за   шт.,https://kdvonline.ru/product/shokolad-beliy-168
"«BabyFox», молочный шоколад, 90 г","88,80 ₽",Новинказа   шт.,https://kdvonline.ru/product/molochniy-shokolad-33996
"«O'Zera», шоколад молочный Extra milk, 90 г","88,80 ₽",Хитза   шт.,https://kdvonline.ru/product/shokolad-molochniy-extra-milk-32633
"«O'Zera», темный шоколад Dark & Orange with chili с апельсиновыми криспами и перцем чили, 24 г","29,90 ₽",за   шт.,https://kdvonline.ru/product/temniy-shokolad-dark-orange-with-chili-s-apelsinovymi-krispami-i-pertsem-chili-31580
"«Яшкино», шоколад молочный с бисквитными шариками, 85 г","67,50 ₽",за   шт.,https://kdvonline.ru/product/shokolad-molochniy-s-biskvitnymi-sharikami-18716
