Name,Price,Value,URL
"«Nina Farina», смесь «Пудинг ванильный», 35 г","14,50 ₽",Новинказа   шт,https://kdvonline.ru/product/smes-puding-vanilniy-36562
"«Nina Farina», смесь «Пудинг со вкусом банана», 35 г","14,40 ₽",Новинказа   шт,https://kdvonline.ru/product/smes-puding-so-vkusom-banana-36561
"«Галерея вкусов», приправа для лапши по-азиатски, 37 г","27,90 ₽",Новинказа   шт,https://kdvonline.ru/product/priprava-dlya-lapshi-po-aziatski-36568
"«Галерея вкусов», приправа для свинины в кисло-сладком соусе, 37 г","29,30 ₽",Новинказа   шт,https://kdvonline.ru/product/priprava-dlya-svininy-v-kislo-sladkom-souse-36570
"«Nina Farina», смесь «Крем брюле», 67 г","38,80 ₽",Новинказа   шт,https://kdvonline.ru/product/smes-krem-bryule-36415
"«Nina Farina», смесь «Кекс», 300 г","70,00 ₽",Новинказа   шт,https://kdvonline.ru/product/smes-keks-36413
"«Nina Farina», смесь «Брауни», 300 г","92,50 ₽",Новинказа   шт,https://kdvonline.ru/product/smes-brauni-36416
"«Nina Farina», смесь «Воздушный бисквит Шоколадный», 300 г","107,50 ₽",Новинказа   шт,https://kdvonline.ru/product/smes-vozdushniy-biskvit-shokoladniy-36410
"«Nina Farina», смесь «Воздушный  бисквит Классический», 300 г","91,30 ₽",Новинказа   шт,https://kdvonline.ru/product/smes-vozdushniy-biskvit-klassicheskiy-36409
"«Галерея вкусов», приправа «Травы французской кухни», 10 г","13,20 ₽",Новинказа   шт,https://kdvonline.ru/product/priprava-travy-frantsuzskoy-kukhni-36326
"«Галерея вкусов», приправа для соуса «Бургер классический», 10 г","18,50 ₽",Новинказа   шт,https://kdvonline.ru/product/priprava-dlya-sousa-burger-klassicheskiy-36328
"«Галерея вкусов», смесь овощей «Петрушка, укроп и лук», 20 г","34,50 ₽",Новинказа   шт,https://kdvonline.ru/product/smes-ovoschey-petrushka-ukrop-i-luk-36331
"«Галерея вкусов», приправа «Смесь паприк», 50 г","78,80 ₽",Новинказа   шт,https://kdvonline.ru/product/priprava-smes-paprik-36330
"«Галерея вкусов», приправа «5 перцев», 60 г","102,50 ₽",Новинказа   шт,https://kdvonline.ru/product/priprava-5-pertsev-36332
"«Галерея вкусов», приправа для ребер барбекю, 30 г","24,80 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-reber-barbekyu-34333
"«Галерея вкусов», приправа для тако, 28 г","28,20 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-tako-34332
"«Галерея вкусов», приправа для баранины, 20 г","15,90 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-baraniny-34327
"«Галерея вкусов», приправа для мексиканских крылышек, 30 г","19,90 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-meksikanskikh-krylyshek-34339
"«Галерея вкусов», приправа для салата «Греческий», 20 г","16,30 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-salata-grecheskiy-34338
"«Галерея вкусов», приправа для посола красной рыбы, 20 г","14,30 ₽","Акция19,00 ₽за   шт",https://kdvonline.ru/product/priprava-dlya-posola-krasnoy-ryby-34337
"«Галерея вкусов», заправка для борща, 25 г","19,30 ₽",за   шт,https://kdvonline.ru/product/zapravka-dlya-borscha-34336
"«Галерея вкусов», приправа для спагетти болоньезе, 25 г","25,70 ₽","Акция31,30 ₽за   шт",https://kdvonline.ru/product/priprava-dlya-spagetti-bolonyeze-34335
"«Галерея вкусов», приправа для домашних котлет, 44 г","28,00 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-domashnikh-kotlet-34334
"«Галерея вкусов», приправа для тушеных овощей и рагу, 25 г","19,40 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-tushenykh-ovoschey-i-ragu-34331
"«Галерея вкусов», приправа для фахиты, 28 г","21,50 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-fakhity-34330
"«Галерея вкусов», приправа для фрикаделек в томатном соусе, 44 г","24,70 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-frikadelek-v-tomatnom-souse-34329
"«Галерея вкусов», приправа для хрустящего венского шницеля, 43 г","25,70 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-khrustyaschego-venskogo-shnitselya-34328
"«Галерея вкусов», приправа для шаурмы с чесночным соусом, 32 г","26,70 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-shaurmy-s-chesnochnym-sousom-34326
"«Галерея вкусов», приправа для салата Цезарь, 30 г","28,20 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-salata-tsezar-34325
"«Nina Farina», кисель с облепихой, 110 г","37,50 ₽",за   шт,https://kdvonline.ru/product/kisel-s-oblepikhoy-34268
"«Галерея вкусов», приправа  для моркови по-корейски, 20 г","10,20 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-morkovi-po-koreyski-34162
"«Галерея вкусов», приправа «Травы греческой кухни», 10 г","11,70 ₽",за   шт,https://kdvonline.ru/product/priprava-travy-grecheskoy-kukhni-34161
"«Галерея вкусов», приправа «Травы итальянской кухни», 10 г","13,90 ₽",за   шт,https://kdvonline.ru/product/priprava-travy-italyanskoy-kukhni-34160
"«Галерея вкусов», приправа для макарон с грибами в сливочном соусе, 26 г","20,90 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-makaron-s-gribami-v-slivochnom-souse-34159
"«Галерея вкусов», приправа для венгерского гуляша с паприкой, 31 г","26,20 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-vengerskogo-gulyasha-s-paprikoy-34158
"«Галерея вкусов», приправа для курицы в сливочном соусе с итальянскими травами, 20 г","14,40 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-kuritsy-v-slivochnom-souse-s-italyanskimi-travami-34157
"«Галерея вкусов», приправа для курицы, 20 г","15,80 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-kuritsy-34156
"«Галерея вкусов», приправа для рыбы, 20 г","16,70 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-ryby-34155
"«Галерея вкусов», приправа для мяса, 20 г","15,40 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-myasa-34154
"«Галерея вкусов», приправа для шашлыка, 20 г","15,80 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-shashlyka-34153
"«Галерея вкусов», приправа для плова, 20 г","18,70 ₽",за   шт,https://kdvonline.ru/product/priprava-dlya-plova-34152
"«Nina Farina», мороженое «Ванильное», 70 г","37,00 ₽",за   шт,https://kdvonline.ru/product/morozhenoe-vanilnoe-29490
"«Nina Farina», мороженое «Клубничное», 70 г","41,30 ₽",за   шт,https://kdvonline.ru/product/morozhenoe-klubnichnoe-29489
"«Nina Farina», мороженое «Шоколадное», 70 г","42,70 ₽",за   шт,https://kdvonline.ru/product/morozhenoe-shokoladnoe-29488
"«Nina Farina», кисель с клюквой, 110 г","39,40 ₽",за   шт,https://kdvonline.ru/product/kisel-s-klyukvoy-29492
"«Nina Farina», кисель с клубникой, 110 г","38,80 ₽",за   шт,https://kdvonline.ru/product/kisel-s-klubnikoy-29493
"«Nina Farina», кисель с вишней, 110 г","37,40 ₽",за   шт,https://kdvonline.ru/product/kisel-s-vishney-29491
"«Галерея вкусов», крахмал картофельный, 200 г","83,80 ₽",за   шт,https://kdvonline.ru/product/krakhmal-kartofelniy-33397
"«Галерея вкусов», какао-порошок, 100 г","78,80 ₽",за   шт,https://kdvonline.ru/product/kakao-poroshok-33396
