Name,Price,Value,URL
"«Maestro Gusten», пюре картофельное, 250 г","85,00 ₽","Акция98,80 ₽за   шт",https://kdvonline.ru/product/pyure-kartofelnoe-34324
"«Maestro Gusten», суп-крем томатный быстрого приготовления, 50 г","39,70 ₽",за   шт,https://kdvonline.ru/product/sup-krem-tomatniy-bystrogo-prigotovleniya-33815
"«Maestro Gusten», суп-крем куриный быстрого приготовления, 50 г","30,20 ₽",за   шт,https://kdvonline.ru/product/sup-krem-kuriniy-bystrogo-prigotovleniya-33814
"«Maestro Gusten», суп-крем грибной быстрого приготовления, 50 г","31,70 ₽",за   шт,https://kdvonline.ru/product/sup-krem-gribnoy-bystrogo-prigotovleniya-33813
"«Maestro Gusten», суп-крем гороховый быстрого приготовления, 50 г","28,30 ₽",за   шт,https://kdvonline.ru/product/sup-krem-gorokhoviy-bystrogo-prigotovleniya-33812
"«Maestro Gusten», суп-крем сырный быстрого приготовления, 50 г","39,50 ₽",за   шт,https://kdvonline.ru/product/sup-krem-syrniy-bystrogo-prigotovleniya-33811
"«Maestro Gusten», суп моментального приготовления гороховый с сухариками, 16 г","10,00 ₽",за   шт,https://kdvonline.ru/product/sup-momentalnogo-prigotovleniya-gorokhoviy-s-sukharikami-33634
"«Maestro Gusten», суп моментального приготовления томатный с сухариками, 16 г","14,70 ₽",за   шт,https://kdvonline.ru/product/sup-momentalnogo-prigotovleniya-tomatniy-s-sukharikami-33633
"«Maestro Gusten», бульон сухой овощной, 90 г","37,90 ₽",за   шт,https://kdvonline.ru/product/bulyon-sukhoy-ovoschnoy-33271
"«Maestro Gusten», бульон сухой куриный, 90 г","36,90 ₽",за   шт,https://kdvonline.ru/product/bulyon-sukhoy-kuriniy-33269
"«Maestro Gusten», бульон сухой говяжий, 90 г","42,50 ₽",за   шт,https://kdvonline.ru/product/bulyon-sukhoy-govyazhiy-33268
"«Maestro Gusten», суп моментального приготовления грибной с сухариками, 16 г","11,40 ₽",за   шт,https://kdvonline.ru/product/sup-momentalnogo-prigotovleniya-gribnoy-s-sukharikami-33378
"«Maestro Gusten», суп моментального приготовления куриный с сухариками, 16 г","11,70 ₽",за   шт,https://kdvonline.ru/product/sup-momentalnogo-prigotovleniya-kuriniy-s-sukharikami-33376
"«Maestro Gusten», суп моментального приготовления сырный с сухариками, 16 г","13,90 ₽",за   шт,https://kdvonline.ru/product/sup-momentalnogo-prigotovleniya-syrniy-s-sukharikami-33379
"«Maestro Gusten», бульон сухой грибной, 90 г","39,70 ₽",за   шт,https://kdvonline.ru/product/bulyon-sukhoy-gribnoy-33270
