Name,Price,Value,URL
"«Яшкино», мини-рулеты глазированные с солёной карамелью, 200 г","103,80 ₽",за   шт.,https://kdvonline.ru/product/mini-rulety-glazirovannye-s-solyonoy-karamelyu-34847
"«Яшкино», рулет бисквитный с какао глазированный, 200 г","88,80 ₽",за   шт.,https://kdvonline.ru/product/rulet-biskvitniy-s-kakao-glazirovanniy-34825
"«Яшкино», мини-рулет бисквитный «Клубничный» глазированный, 200 г","103,80 ₽",за   шт.,https://kdvonline.ru/product/mini-rulet-biskvitniy-klubnichniy-glazirovanniy-34845
"«Belucci», торт-суфле со вкусом клубники, 400 г","318,80 ₽",за   шт.,https://kdvonline.ru/product/tort-sufle-so-vkusom-klubniki-33603
"«Яшкино», пирожное бисквитное со сливочным кремом, 30 г","15,20 ₽",за   шт.,https://kdvonline.ru/product/pirozhnoe-biskvitnoe-so-slivochnym-kremom-31310
"«Яшкино», пирожное бисквитное с шоколадным кремом, 30 г","15,20 ₽",за   шт.,https://kdvonline.ru/product/pirozhnoe-biskvitnoe-s-shokoladnym-kremom-31293
"«Яшкино», рулет бисквитный черничный, 200 г","80,00 ₽",за   шт.,https://kdvonline.ru/product/rulet-biskvitniy-chernichniy-391
"«Яшкино», рулет бисквитный вишнёвый, 200 г","80,00 ₽",за   шт.,https://kdvonline.ru/product/rulet-biskvitniy-vishnyoviy-392
"«Яшкино», рулет бисквитный клубничный со сливками, 200 г","80,00 ₽",за   шт.,https://kdvonline.ru/product/rulet-biskvitniy-klubnichniy-so-slivkami-394
"«Яшкино», рулет бисквитный шоколадный, 200 г","80,00 ₽",за   шт.,https://kdvonline.ru/product/rulet-biskvitniy-shokoladniy-30
"«Яшкино», рулет бисквитный с варёной сгущёнкой, 200 г","80,00 ₽",за   шт.,https://kdvonline.ru/product/rulet-biskvitniy-s-varyonoy-sguschyonkoy-393
"«Мэлори», мини-рулет бисквитный со вкусом солёной карамели, 40 г","20,00 ₽",за   шт.,https://kdvonline.ru/product/mini-rulet-biskvitniy-so-vkusom-solyonoy-karameli-24493
"«Redcap», рулет бисквитный со вкусом сыра Маскарпоне, 200 г","90,00 ₽",за   шт.,https://kdvonline.ru/product/rulet-biskvitniy-so-vkusom-syra-maskarpone-22597
"«HIPPO BONDI & FRIENDS», бисквитное пирожное с банановой начинкой, 32 г","15,80 ₽",за   шт.,https://kdvonline.ru/product/biskvitnoe-pirozhnoe-s-bananovoy-nachinkoy-1831
"«HIPPO BONDI & FRIENDS», бисквитное пирожное с вареной сгущенкой, 32 г","15,80 ₽",Хитза   шт.,https://kdvonline.ru/product/biskvitnoe-pirozhnoe-s-varenoy-sguschenkoy-1830
"«HIPPO BONDI & FRIENDS», бисквитное пирожное с малиновой начинкой, 32 г","15,80 ₽",Хитза   шт.,https://kdvonline.ru/product/biskvitnoe-pirozhnoe-s-malinovoy-nachinkoy-17346
"«Basker Wheels», pancake с вареной сгущенкой, 36 г","18,30 ₽",Хитза   шт.,https://kdvonline.ru/product/pancake-s-varenoy-sguschenkoy-1829
"«Basker Wheels», pancake с джемом с соком малины, 36 г","18,30 ₽",Хитза   шт.,https://kdvonline.ru/product/pancake-s-dzhemom-s-sokom-maliny-1828
"«Мэлори», мини-рулет бисквитный с клубничной начинкой, 40 г","20,00 ₽",за   шт.,https://kdvonline.ru/product/mini-rulet-biskvitniy-s-klubnichnoy-nachinkoy-917
"«Яшкино», мини-рулет бисквитный «Клубничный», 35 г","17,40 ₽",Хитза   шт.,https://kdvonline.ru/product/mini-rulet-biskvitniy-klubnichniy-28
"«Яшкино», мини-рулет бисквитный «Клубничный», 175 г","86,30 ₽",за   шт.,https://kdvonline.ru/product/mini-rulet-biskvitniy-klubnichniy-705
"«O'Zera», кекс с шоколадным кремом, 520 г","328,70 ₽",за   шт.,https://kdvonline.ru/product/keks-s-shokoladnym-kremom-1457
"«Яшкино», кекс с клубничным джемом и сливочным кремом, 500 г","310,80 ₽",за   шт.,https://kdvonline.ru/product/keks-s-klubnichnym-dzhemom-i-slivochnym-kremom-198
"«Яшкино», кекс с вишнёвым джемом и шоколадным кремом, 500 г","310,80 ₽",за   шт.,https://kdvonline.ru/product/keks-s-vishnyovym-dzhemom-i-shokoladnym-kremom-197
