Name,Price,Value,URL
"«Яшкино», вафельный сэндвич с какао и молочной начинкой, 168 г","81,30 ₽",за   шт.,https://kdvonline.ru/product/vafelniy-sendvich-s-kakao-i-molochnoy-nachinkoy-35329
Трубочки вафельные с ананасовым кремом (коробка 2 кг),"1 147,60 ₽",за кор. 2 кг,https://kdvonline.ru/product/trubochki-vafelnye-s-ananasovym-kremom-33448
"«Twiggy», трубочки вафельные Double с ананасовым кремом, 185 г","118,80 ₽",за   шт.,https://kdvonline.ru/product/trubochki-vafelnye-double-s-ananasovym-kremom-33447
"«Яшкино», вафли арахисовые, 200 г","76,30 ₽",за   шт.,https://kdvonline.ru/product/vafli-arakhisovye-32128
"«Яшкино», вафли с какао, шоколадно-банановые, 200 г","72,50 ₽",за   шт.,https://kdvonline.ru/product/vafli-s-kakao-shokoladno-bananovye-32125
"«Яшкино», вафли с какао, шоколадные, 200 г","65,00 ₽",за   шт.,https://kdvonline.ru/product/vafli-s-kakao-shokoladnye-32122
"«Яшкино», торт вафельный шоколадный с фундуком, глазированный, 250 г","113,80 ₽",за   шт.,https://kdvonline.ru/product/tort-vafelniy-shokoladniy-s-fundukom-glazirovanniy-32433
"«O'Zera», трубочки вафельные с кокосом в белом шоколаде, 185 г","118,80 ₽",за   шт.,https://kdvonline.ru/product/trubochki-vafelnye-s-kokosom-v-belom-shokolade-31934
"«Яшкино», вафли мягкие с яблоком и корицей, 40 г","19,70 ₽",за   шт.,https://kdvonline.ru/product/vafli-myagkie-s-yablokom-i-koritsey-31385
"«Яшкино», вафли мягкие с яблоком и корицей, 120 г","57,50 ₽",за   шт.,https://kdvonline.ru/product/vafli-myagkie-s-yablokom-i-koritsey-31380
"«Яшкино», рулетики вафельные с шоколадным вкусом, 160 г","62,50 ₽",за   шт.,https://kdvonline.ru/product/ruletiki-vafelnye-s-shokoladnym-vkusom-30485
"«Twiggy», трубочки вафельные Double с кокосом в белом шоколаде, 185 г","107,50 ₽","Акция118,80 ₽за   шт.",https://kdvonline.ru/product/trubochki-vafelnye-double-s-kokosom-v-belom-shokolade-29984
"«Яшкино», вафли тонкие с какао и молочным кремом, 144 г","61,30 ₽",за   шт.,https://kdvonline.ru/product/vafli-tonkie-s-kakao-i-molochnym-kremom-28671
