Name,Price,Value,URL
"Многоразовая раскраска, принцесса","129,00 ₽",за   шт,https://kdvonline.ru/product/mnogorazovaya-raskraska-printsessa-33313
"Многоразовая раскраска, транспортные средства","129,00 ₽",за   шт,https://kdvonline.ru/product/mnogorazovaya-raskraska-transportnye-sredstva-33315
"Стикеры для заметок, 50 листов","79,00 ₽",за   шт,https://kdvonline.ru/product/stikery-dlya-zametok-50-listov-35827
Объемные наклейки «Строительная техника»,"59,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-stroitelnaya-tekhnika-35792
Объемные наклейки «Гонки»,"59,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-gonki-35793
Объемные наклейки «Гонки»,"59,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-gonki-35794
"Объемные наклейки «Мир русалок», 2 страницы","99,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-mir-rusalok-2-stranitsy-35806
"Объемные наклейки «Мир русалок», 2 страницы","99,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-mir-rusalok-2-stranitsy-35807
Объемные наклейки «Строительная техника» с плавающими блестками,"109,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-stroitelnaya-tekhnika-s-plavayuschimi-blestkami-35817
Объемные наклейки «Строительная техника» с плавающими блестками,"109,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-stroitelnaya-tekhnika-s-plavayuschimi-blestkami-35819
Объемные наклейки «Вечеринка» с водичкой и блестками внутри,"109,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-vecherinka-s-vodichkoy-i-blestkami-vnutri-35820
Объемные наклейки «Строительная техника»,"59,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-stroitelnaya-tekhnika-35824
Объемные наклейки «Строительная техника»,"59,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-stroitelnaya-tekhnika-35825
Объемные наклейки «Мир динозавров» с водичкой и блестками внутри,"109,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-mir-dinozavrov-s-vodichkoy-i-blestkami-vnutri-35828
Объемные наклейки «Мир динозавров» с водичкой и блестками внутри,"109,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-mir-dinozavrov-s-vodichkoy-i-blestkami-vnutri-35829
Объемные наклейки «Мир динозавров» с водичкой и блестками внутри,"109,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-mir-dinozavrov-s-vodichkoy-i-blestkami-vnutri-35846
Объемные наклейки «Сердца» со стразами внутри,"99,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-serdtsa-so-strazami-vnutri-35838
Объемные наклейки «Медведи» со стразами внутри,"99,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-medvedi-so-strazami-vnutri-35837
Объемные наклейки «Конфеты» со стразами внутри,"99,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-konfety-so-strazami-vnutri-35836
Объемные наклейки «Кристаллы» со стразами внутри,"99,00 ₽",за   шт,https://kdvonline.ru/product/obyemnye-nakleyki-kristally-so-strazami-vnutri-35835
Набор для создания брелока с наклейками,"99,00 ₽",за   шт,https://kdvonline.ru/product/nabor-dlya-sozdaniya-breloka-s-nakleykami-35842
"Блокнот с наклейками «Супермаркет», 88 листов в клетку","209,00 ₽",за   шт,https://kdvonline.ru/product/bloknot-s-nakleykami-supermarket-88-listov-v-kletku-35841
"Блокнот с наклейками «Кондитерская», 88 листов в клетку","209,00 ₽",за   шт,https://kdvonline.ru/product/bloknot-s-nakleykami-konditerskaya-88-listov-v-kletku-35840
Магнитный набор «Английские буквы и слова»,"1 099,00 ₽",за   шт,https://kdvonline.ru/product/magnitniy-nabor-angliyskie-bukvy-i-slova-27205
Магнитный набор «Управление временем»,"1 099,00 ₽",за   шт,https://kdvonline.ru/product/magnitniy-nabor-upravlenie-vremenem-27210
