Name,Price,Value,URL
"«Zerfer», маршмеллоу Solo, 65 г","33,00 ₽",за   шт.,https://kdvonline.ru/product/marshmellou-solo-36071
"«Belucci», зефир с чёрной смородиной, 130 г","116,30 ₽",Новинказа   шт.,https://kdvonline.ru/product/zefir-s-chyornoy-smorodinoy-36007
"«HIPPO BONDI & FRIENDS», мармелад жевательный с игрушкой «Пупсы», 100 г","118,80 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-s-igrushkoy-pupsy-29525
"«HIPPO BONDI & FRIENDS», мармелад жевательный с игрушкой «Гонки», 100 г","118,80 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-s-igrushkoy-gonki-29526
"«HIPPO BONDI & FRIENDS», фруктовые пастилки «Яблоко-персик», 30 г","20,90 ₽",за   шт.,https://kdvonline.ru/product/fruktovye-pastilki-yabloko-persik-34671
"«KrutFrut», мармелад жевательный «Звездочки со вкусом персика и апельсина», 100 г","42,50 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-zvezdochki-so-vkusom-persika-i-apelsina-33408
"«KrutFrut», мармелад жевательный «Колечки со вкусом персика», 70 г","28,80 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-kolechki-so-vkusom-persika-33406
"«KrutFrut», мармелад жевательный «Колечки со вкусом колы» (упаковка 0,5 кг)","191,25 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-kolechki-so-vkusom-koly-33413
"«KrutFrut», мармелад жевательный «Глаз, со вкусом клубники со сливками» (упаковка 0,5 кг)","177,50 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-glaz-so-vkusom-klubniki-so-slivkami-33411
"«KrutFrut», мармелад жевательный «Глаз, со вкусом клубники со сливками», 70 г","27,50 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-glaz-so-vkusom-klubniki-so-slivkami-33410
"«KrutFrut», мармелад жевательный «Звездочки со вкусом персика и апельсина» (упаковка 0,5 кг)","190,65 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-zvezdochki-so-vkusom-persika-i-apelsina-33409
"«KrutFrut», мармелад жевательный «Колечки со вкусом персика» (упаковка 0,5 кг)","188,75 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-kolechki-so-vkusom-persika-33407
"«KrutFrut», мармелад жевательный «Мозг» (упаковка 0,5 кг)","193,75 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-mozg-29524
"«KrutFrut», мармелад жевательный «Лягушки» (упаковка 0,5 кг)","180,65 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-lyagushki-29523
"«KrutFrut», мармелад жевательный «Мозг», 70 г","29,20 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-mozg-29522
"«KrutFrut», мармелад жевательный «Лягушки», 100 г","40,00 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-lyagushki-29521
"«KrutFrut», мармелад жевательный в форме черепов и костей (упаковка 0,5 кг)","195,65 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-cherepov-i-kostey-30654
"«KrutFrut», мармелад жевательный в форме черепов и костей, 70 г","30,00 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-cherepov-i-kostey-29777
"«Zerfer», маршмеллоу Jam со вкусом черники & дыни, 90 г","41,30 ₽",за   шт.,https://kdvonline.ru/product/marshmellou-jam-so-vkusom-cherniki-dyni-31801
"«Zerfer», маршмеллоу с клубнично-сливочным вкусом, в шоколаде, 80 г","68,80 ₽",за   шт.,https://kdvonline.ru/product/marshmellou-s-klubnichno-slivochnym-vkusom-v-shokolade-32977
Зефир с апельсином (коробка 1 кг),"406,30 ₽",за кор. 1 кг,https://kdvonline.ru/product/zefir-s-apelsinom-31262
"«Belucci», зефир с апельсином, 250 г","112,50 ₽",за   шт.,https://kdvonline.ru/product/zefir-s-apelsinom-31261
Зефир с кусочками манго (коробка 1 кг),"420,00 ₽",за кор. 1 кг,https://kdvonline.ru/product/zefir-s-kusochkami-mango-30730
"«KrutFrut», мармелад жевательный в форме осьминожек (упаковка 0,5 кг)","196,25 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-osminozhek-29988
"«Zerfer», маршмеллоу duo, 90 г","41,30 ₽",за   шт.,https://kdvonline.ru/product/marshmellou-duo-18665
"«KrutFrut», мармелад жевательный в форме осьминожек, 100 г","44,50 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-osminozhek-29985
"«KrutFrut», мармелад жевательный, со вкусами киви, персик, черная смородина, лимон. (упаковка 0,5 кг)","175,00 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-so-vkusami-kivi-persik-chernaya-smorodina-limon-29987
"«KrutFrut», мармелад жевательный в форме сороконожек, 70 г","28,00 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-sorokonozhek-29776
"«O'Zera», зефир в шоколаде с манго, 270 г","266,30 ₽",за   шт.,https://kdvonline.ru/product/zefir-v-shokolade-s-mango-30190
"«KrutFrut», мармелад жевательный в форме милых  бабочек, 70 г","28,00 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-milykh-babochek-1711
"«KrutFrut», мармелад жевательный в форме разноцветных пауков, 200 г","82,50 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-raznotsvetnykh-paukov-25642
"«HIPPO BONDI & FRIENDS», фруктовые пастилки «Яблоко – тыква – морковь», 30 г","21,80 ₽",за   шт.,https://kdvonline.ru/product/fruktovye-pastilki-yabloko-tykva-morkov-29390
"«HIPPO BONDI & FRIENDS», фруктовые пастилки «Яблоко», 30 г","21,20 ₽",за   шт.,https://kdvonline.ru/product/fruktovye-pastilki-yabloko-29388
"«KrutFrut», мармелад жевательный, со вкусом вишни и смородины со сливками (упаковка 0,5 кг)","178,75 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-so-vkusom-vishni-i-smorodiny-so-slivkami-29120
"«KrutFrut», мармелад жевательный в форме мышек, 100 г","41,40 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-myshek-28020
"«KrutFrut», мармелад жевательный в форме кубиков (упаковка 0,5 кг)","173,15 ₽",за упак. 0.5 кг,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-kubikov-26189
"«KrutFrut», мармелад жевательный Perfect Match, в форме кубиков, 70 г","26,90 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-perfect-match-v-forme-kubikov-25436
"«KrutFrut», мармелад жевательный в форме забавных змеек в посыпке с легкой кислинкой, 200 г","86,30 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-v-forme-zabavnykh-zmeek-v-posypke-s-legkoy-kislinkoy-25640
"«Озёрский сувенир», мармелад «Яблочный», 100% натуральный продукт, 320 г","120,00 ₽",за   шт.,https://kdvonline.ru/product/marmelad-yablochniy-100-naturalniy-produkt-24391
"«Mayama», мармелад жевательный с соком манго, клубники, лимона, вишни, яблок, 250 г","96,30 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-s-sokom-mango-klubniki-limona-vishni-yablok-17799
"«Mayama», мармелад жевательный с желейной начинкой со вкусом черники и малины со сливками, 70 г","27,00 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-s-zheleynoy-nachinkoy-so-vkusom-cherniki-i-maliny-so-slivkami-150
"«Mayama», мармелад жевательный со вкусами клубники и черники со сливками, 70 г","27,30 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-so-vkusami-klubniki-i-cherniki-so-slivkami-1816
"«Mayama», мармелад жевательный со вкусами клубники, яблока, вишни, манго, лимона, 70 г","27,30 ₽",за   шт.,https://kdvonline.ru/product/marmelad-zhevatelniy-so-vkusami-klubniki-yabloka-vishni-mango-limona-1817
